Scientific name,Common name,"IUCN Red List(2010)Category","IUCN RedList (2011)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Bradypus torquatus,Maned Three-toed Sloth,EN,VU,N,2011.1
Callicebus oenanthe,San Martin Titi Monkey,EN,CR,N,2011.1
Equus ferus,Przewalski's Horse,CR,EN,G,2011.2
Eulemur flavifrons,Blue-eyed Black Lemur,EN,CR,N,2011.1
Mirza zaza,Northern Giant Mouse Lemur,DD,VU,N,2011.1
Monodelphis unistriata,Single-striped Opossum,DD,CR(PE),N,2011.2
Mustela lutreola,European Mink,EN,CR,N,2011.2
Neophocaena asiaeorientalis,Narrow-ridged Finless Porpoise,EN,VU,N,2011.2
Oryx leucoryx,Arabian Oryx,EN,VU,G,2011.1
Santamartamys rufodorsalis,Red Crested Tree Rat,DD,CR,N,2011.2
Sylvilagus mansuetus,San Jose Brush Rabbit,NT,CR,G,2011.2
BIRDS,,,,,
Amazilia luciae,Honduran Emerald,CR,EN,N,2011.2
Amazona tucumana,Tucuman Amazon,NT,VU,N,2011.2
Anas formosa,Baikal Teal,VU,LC,N,2011.2
Anas nesiotis,Campbell Islands Teal,CR,EN,G,2011.2
Anthus nilghiriensis,Nilgiri Pipit,NT,VU,N,2011.2
Ardeotis nigriceps,Great Indian Bustard,EN,CR,G,2011.2
Asthenes hudsoni,Hudson's Canastero,LC,NT,N,2011.2
Asthenes luizae,Cipo Canastero,VU,NT,N,2011.2
Atlapetes pallidiceps,Pale-headed Brush-finch,CR,EN,G,2011.2
Caprimulgus noctitherus,Puerto Rican Nightjar,CR,EN,N,2011.2
Celeus obrieni,Kaempfer's Woodpecker,CR,EN,N,2011.2
Columba bollii,Dark-tailed Laurel Pigeon,NT,LC,G,2011.2
Columba junoniae,White-tailed Laurel Pigeon,EN,NT,G,2011.2
Columba trocaz,Madeira Laurel Pigeon,NT,LC,G,2011.2
Falco naumanni,Lesser Kestrel,VU,LC,N,2011.2
Gallinago nobilis,Noble Snipe,LC,NT,N,2011.2
Geothlypis beldingi,Belding's Yellowthroat,CR,EN,N,2011.2
Grallaria eludens,Elusive Antpitta,NT,LC,N,2011.2
Grallaria kaestneri,Cundinamarca Antpitta,VU,EN,N,2011.2
Herpsilochmus sellowi,Caatinga Antwren,NT,LC,N,2011.2
Lophura diardi,Siamese Fireback,NT,LC,N,2011.2
Megapodius bernsteinii,Sula Megapode,NT,VU,N,2011.2
Myiagra albiventris,Samoan Flycatcher,VU,NT,G,2011.2
Myiopagis olallai,Foothill Elaenia,NT,VU,N,2011.2
Myophonus robinsoni,Malaysian Whistling-thrush,LC,NT,N,2011.2
Necrosyrtes monachus,Hooded Vulture,LC,EN,N,2011.2
Phalacrocorax harrisi,Flightless Cormorant,EN,VU,N,2011.2
Polystictus superciliaris,Grey-backed Tachuri,NT,LC,N,2011.2
Psittacula derbiana,Derbyan Parakeet,LC,NT,N,2011.2
Pterodroma brevipes,Collared Petrel,NT,VU,N,2011.2
Ramphomicron dorsale,Black-backed Thornbill,LC,EN,N,2011.2
Rhynchopsitta terrisi,Maroon-fronted Parrot,VU,EN,N,2011.2
Rigidipenna inexpectata,Solomon Islands Frogmouth,LC,NT,N,2011.2
Rimator pasquieri,White-throated Wren-babbler,LC,EN,N,2011.2
Sagittarius serpentarius,Secretarybird,LC,VU,N,2011.2
Saxicola dacotiae,Fuerteventura Stonechat,EN,NT,N,2011.2
Scotopelia ussheri,Rufous Fishing-owl,EN,VU,N,2011.2
Spelaeornis kinneari,Pale-throated Wren-babbler,LC,VU,N,2011.2
Treron sanctithomae,Sao Tome Green-pigeon,LC,VU,N,2011.2
Trichoglossus rubiginosus,Pohnpei Lorikeet,LC,NT,N,2011.2
REPTILES,,,,,
Acrantophis dumerili,Dumeril's Boa,VU,LC,N,2011.2
Acrantophis madagascariensis,Malagasy Ground Boa,VU,LC,N,2011.2
Amphiglossus alluaudi,,DD,VU,N,2011.2
Amphiglossus melanurus,Spotted Skink,DD,LC,N,2011.2
Brookesia perarmata,Antsingy Leaf Chameleon,VU,EN,N,2011.2
Clemmys guttata,Spotted Turtle,VU,EN,N,2011.1
Ctenosaura melanosterna,Black-chested Spiny-tailed Iguana,CR,EN,N,2011.2
Ctenosaura palearis,Motagua Spiny-tailed Iguana,CR,EN,N,2011.1
Emydoidea blandingii,Blanding's Turtle,LR/nt,EN,N,2011.1
Furcifer minor,Lesser Chameleon,VU,EN,N,2011.2
Geckolepis maculata,Fish-scale Gecko,DD,LC,N,2011.2
Glyptemys insculpta,Wood Turtle,VU,EN,G,2011.1
Glyptemys muhlenbergii,Bog Turtle,EN,CR,G,2011.1
Graptemys barbouri,Barbour's Map Turtle,LR/nt,VU,N,2011.1
Graptemys caglei,Cagle's Map Turtle,VU,EN,N,2011.1
Graptemys flavimaculata,Yellow Blotched Sawback,EN,VU,N,2011.1
Graptemys nigrinoda,Black-knobbed Sawback,LR/nt,LC,N,2011.1
Graptemys oculifera,Ringed Sawback,EN,VU,N,2011.1
Graptemys pulchra,Alabama Map Turtle,LR/lc,NT,G,2011.1
Graptemys versa,Texas Map Turtle,LR/nt,LC,N,2011.1
Kinosternon sonoriense,Sonora Mud Turtle,VU,NT,N,2011.1
Liophidium therezieni,,DD,VU,N,2011.2
Liophidium vaillanti,,DD,LC,N,2011.2
Lygodactylus klemmeri,Malagasy Dwarf Gecko,VU,NT,N,2011.2
Paracontias rothschildi,Rothschild's Skink,VU,CR,N,2011.2
Phelsuma flavigularis,Yellow-throated Day Gecko,DD,EN,N,2011.2
Sanzinia madagascariensis,Madagascar Tree Boa,VU,LC,N,2011.2
Sternotherus depressus,Flattened Musk Turtle,VU,CR,N,2011.1
Terrapene carolina,Eastern Box Turtle,LR/nt,VU,G,2011.1
Thamnosophis stumpffi,Yellow-striped Water Snake,DD,VU,N,2011.2
Trachemys scripta,Yellow-bellied Slider Turtle,LR/nt,LC,N,2011.1
Trachylepis lavarambo,,EN,VU,N,2011.2
Trachylepis tavaratra,,LC,VU,N,2011.2
Typhlops arenarius,Sand Worm Snake,DD,LC,N,2011.2
AMPHIBIANS,,,,,
Arthroleptella subvoce,,DD,EN,N,2011.1
Strongylopus springbokensis,Namaqua Stream Frog,VU,LC,N,2011.1
Strongylopus wageri,Wager's Stream Frog,NT,VU,N,2011.1
FISHES,,,,,
Aaptosyax grypus,Mekong Giant Salmon Carp,DD,CR,N,2011.1
Barbus prespensis,Briána,VU,LC,N,2011.1
Betta simplex,Krabi Mouth Brooding Betta,VU,CR,N,2011.1
Cephaloscyllium variegatum,Saddled Swellshark,DD,NT,N,2011.2
Epalzeorhynchos bicolor,Redtail Sharkminnow,EW,CR,N,2011.1
Eptatretus mendozai,,DD,LC,N,2011.1
Horaglanis krishnai,Cave Catfish,VU,DD,N,2011.1
Hypselobarbus pulchellus,,DD,CR(PE),N,2011.1
Hypselobarbus thomassi,Red Canarese Barb,VU,CR,N,2011.1
Indoreonectes evezardi,,DD,LC,N,2011.1
Labeo potail,Deccan Labeo,CR,EN,N,2011.1
Laubuca caeruleostigmata,Flying Minnow,CR,EN,N,2011.2
Monopterus indicus,Bombay Swampeel,NT,VU,N,2011.1
Nemacheilus petrubanarescui,,NT,EN,N,2011.1
Nemacheilus troglocataractus,,VU,CR,N,2011.1
Neotrygon leylandi,Painted Maskray,NT,LC,N,2011.2
Oreoglanis siamensis,,VU,EN,N,2011.1
Percarina demidoffii,,VU,NT,N,2011.1
Probarbus labeamajor,Thicklipped Barb,DD,EN,N,2011.1
Proeutropiichthys taakree,Indian Taakree,DD,LC,N,2011.1
Pseudosphromenus dayi,,NT,VU,N,2011.1
Puntius denisonii,Red Line Torpedo Barb,VU,EN,N,2011.1
Scomberomorus concolor,Monterrey Spanish Mackerel,EN,VU,N,2011.2
Squalus raoulensis,Kermadec Spiny Dogfish,DD,LC,N,2011.2
Tenualosa thibaudeaui,Mekong Herring,EN,VU,N,2011.1
Thunnus alalunga,Albacore Tuna,DD,NT,N,2011.2
Thunnus albacares,Yellowfin Tuna,LR/lc,NT,G,2011.2
Thunnus thynnus,Atlantic Bluefin Tuna,DD,EN,N,2011.2
Yasuhikotakia sidthimunki,Dwarf Clown Loach,CR,EN,N,2011.1
Xiphias gladius,Swordfish,DD,LC,N,2011.2
BUTTERFLIES,,,,,
Aloeides egerides,Red Hill Copper,VU,LC,N,2011.2
Aloeides nollothi,Nolloth's Copper,VU,LC,N,2011.2
Aloeides nubilus,Cloud Copper,VU,EN,N,2011.2
Lepidochrysops badhami,Badham's Blue,VU,LC,N,2011.2
Lepidochrysops penningtoni,Pennington’s Blue,VU,DD,N,2011.2
Lepidochrysops quickelbergei,Quickelberge’s Blue,VU,LC,N,2011.2
ODONATA,,,,,
Oligoaeschna niisatoi,,DD,VU,N,2011.1
Orthetrum rubens,Elusive Skimmer,DD,CR(PE),N,2011.2
Rhinagrion hainanense,,VU,LC,N,2011.2
Sympetrum dilatatum,St. Helena Darter,EX,DD,N,2011.1
Mortonagrion hirosei,Four-spot Midget,VU,NT,N,2011.1
MOLLUSCS,,,,,
Acicula hausdorfi,,DD,NT,N,2011.1
Actinella actinophora,,LR/nt,VU,N,2011.1
Actinella anaglyptica,,VU,NT,G,2011.1
Actinella carinofausta,,VU,EN,N,2011.1
Actinella fausta,,LR/nt,LC,N,2011.1
Actinella laciniosa,,DD,VU,N,2011.1
Actinella obserata,,LR/nt,CR,N,2011.1
Actinella robusta,,LR/nt,DD,N,2011.1
Alasmidonta heterodon,Dwarf Wedgemussel,EN,VU,N,2011.2
Allognathus graellsianus,,LR/nt,LC,N,2011.1
Arcidens wheeleri,Wheeler's Pearly Mussel,CR,EN,N,2011.2
Atenia quadrasi,,LR/nt,LC,N,2011.1
Austroassiminea letha,Cape Leeuwin Snail,VU,EN,N,2011.2
Austropyrgus grampianensis,,CR,NT,N,2011.2
Beddomeia minima,,EN,VU,N,2011.2
Beddomeia trochiformis,,VU,LC,N,2011.2
Beddomeia tumida,,EX,CR(PE),N,2011.2
Belgrandia marginata,,LC,DD,N,2011.2
Bythinella badensis,,VU,NT,N,2011.2
Bythinella bavarica,,VU,EN,N,2011.1
Bythinella compressa,,VU,DD,N,2011.2
Bythinella dunkeri,,VU,DD,N,2011.2
Bythinella pannonica,,VU,LC,N,2011.1
Bythiospeum alpinum,,DD,NT,N,2011.2
Bythiospeum quenstedti,,VU,LC,N,2011.1
Bythiospeum reisalpense,,EN,VU,N,2011.1
Bythiospeum sandbergeri,,VU,DD,N,2011.2
Canariella leprosa,,LR/cd,VU,N,2011.1
Canariella pthonera,,LR/cd,VU,G,2011.1
Candidula setubalensis,,VU,EN,G,2011.1
Caseolus abjectus,,LR/nt,LC,N,2011.1
Caseolus calvus,,VU,EN,G,2011.1
Caseolus commixtus,,VU,LC,N,2011.1
Caseolus consors,,LR/nt,LC,N,2011.1
Caseolus hartungi,,LR/nt,LC,N,2011.1
Caseolus leptostictus,,LR/cd,VU,N,2011.1
Chilostoma ziegleri,,DD,NT,N,2011.1
Cochlostoma obscurum,,LC,NT,N,2011.2
Codringtonia codringtonii,Rock Snail,DD,EN,N,2011.1
Cornu mazzullii,,VU,EN,G,2011.1
Craspedopoma lyonnetianum,,LR/cd,VU,N,2011.1
Craspedopoma trochoideum,,LR/cd,LC,N,2011.1
Cryptosaccus asturiensis,,LR/nt,VU,N,2011.1
Cylindrus obtusus,,LR/nt,LC,N,2011.1
Discula bulverii,,EN,CR,N,2011.1
Discula cheiranthicola,,VU,NT,N,2011.1
Discula tabellata,Madeiran Land Snail,EN,CR,N,2011.1
Discula tectiformis,,VU,EN,N,2011.1
Discus guerinianus,Madeiran Land Snail,EN,CR,G,2011.1
Elimia albanyensis,Black-crest Elimia,VU,LC,N,2011.2
Elimia cahawbensis,Cahaba Elimia,DD,LC,N,2011.2
Elimia fascinans,Banded Elimia,VU,LC,N,2011.2
Elimia troostiana,Mossy Elimia,VU,CR(PE),N,2011.2
Elliptio angustata,Carolina Lance,LR/nt,LC,N,2011.2
Elliptio downiei,Satilla Elephantear,LR/nt,LC,N,2011.2
Elliptio folliculata,Pod Lance,LR/nt,LC,N,2011.2
Elliptio hopetonensis,Altamaha Slabshell,LR/nt,LC,N,2011.2
Elliptio producta,Atlantic Spike,LR/nt,LC,N,2011.2
Fagotia esperi,,DD,LC,N,2011.2
Falkneria camerani,,CR,VU,N,2011.1
Falniowskia neglectissima,,LR/nt,DD,N,2011.2
Faustina cingulella,,LR/nt,LC,N,2011.1
Fenouilia kreitneri,,CR,EN,N,2011.2
Ferrissia mcneili,Hood Ancylid,VU,LC,N,2011.2
Fissuria boui,,VU,NT,N,2011.1
Fluvidona petterdi,,VU,CR,N,2011.2
Fonscochlea aquatica,,VU,EN,N,2011.2
Fusconaia ozarkensis,Ozark Pigtoe,LR/nt,LC,N,2011.2
Gittenbergeria turriplana,,LR/lc,NT,N,2011.1
Glyptophysa petiti,,EN,DD,N,2011.2
Gyraulus mauritianus,,VU,LC,N,2011.2
Helicella stiparum,,VU,EN,N,2011.1
Helicella striatitala,,LR/nt,LC,N,2011.1
Helix godetiana,,LR/nt,EN,N,2011.1
Hemicycla berkeleii,,LR/nt,DD,N,2011.1
Hemicycla inutilis,,LR/cd,VU,G,2011.1
Hemicycla mascaensis,,LR/nt,CR,N,2011.1
Hemicycla modesta,,LR/lc,CR,N,2011.1
Hemicycla plicaria,,LR/lc,CR,N,2011.1
Hemicycla pouchadan,,VU,EN,N,2011.1
Hemicycla pouchet,,LR/cd,VU,N,2011.1
Hemistomia beaumonti,,EN,DD,N,2011.2
Hemistomia minutissima,,VU,LC,N,2011.2
Hystricella bicarinata,,VU,NT,N,2011.1
Hystricella echinulata,,VU,LC,N,2011.1
Hystricella oxytropis,,VU,NT,N,2011.1
Ichnusomunda sacchii,,VU,CR,N,2011.1
Idiomela subplicata,,VU,CR,N,2011.1
Jardinella carnarvonensis,,VU,LC,N,2011.2
Jardinella exigua,,VU,EN,N,2011.2
Jardinella zeidlerorum,,VU,EN,N,2011.2
Lampadia webbiana,,VU,EN,G,2011.1
Lasmigona holstonia,Tennessee Heelsplitter,LR/nt,LC,N,2011.2
Lauria fanalensis,,VU,LC,N,2011.1
Leiostyla calathiscus,,VU,NT,N,2011.1
Leiostyla cheilogona,,VU,LC,N,2011.1
Leiostyla concinna,,VU,EN,G,2011.1
Leiostyla degenerata,,VU,NT,G,2011.1
Leiostyla heterodon,,CR,VU,N,2011.1
Leiostyla laurinea,,LR/cd,VU,N,2011.1
Leiostyla monticola,,VU,LC,N,2011.1
Leiostyla relevata,,VU,NT,G,2011.1
Leiostyla vermiculosa,,VU,DD,N,2011.1
Lemniscia galeata,,DD,CR,N,2011.1
Lemniscia michaudi,,VU,NT,G,2011.1
Leptaxis terceirana,,VU,LC,N,2011.1
Leptoxis plicata,Plicate Rocksnail,VU,CR,N,2011.2
Lithasia jayana,Rugose Rocksnail,VU,DD,N,2011.2
Lithasia lima,Elk River File Snail,VU,DD,N,2011.2
Lithasia verrucosa,Verrucose File Snail,VU,LC,N,2011.2
Napaeus nanodes,,LR/cd,EN,N,2011.1
Nitia monceti,,DD,LC,N,2011.2
Orcula austriaca,,DD,LC,N,2011.1
Orcula fuchsi,,LR/nt,CR,G,2011.1
Orcula pseudodolium,,DD,NT,N,2011.1
Petasina subtecta,,DD,NT,N,2011.1
Phrantela pupiformis,,VU,LC,N,2011.2
Phrantela umbilicata,,VU,LC,N,2011.2
Pisidium fultoni,,LR/nt,DD,N,2011.2
Platyla maasseni,,DD,VU,N,2011.1
Platyla microspira,,DD,LC,N,2011.1
Platyla orthostoma,,DD,NT,N,2011.1
Platyla peloponnesica,,DD,VU,N,2011.1
Pleurobema beadleianum,Mississippi Pigtoe,LR/nt,LC,N,2011.2
Pleurocera postelli,Broken Hornsnail,VU,DD,N,2011.2
Pleurocera pyrenella,Skirted Hornsnail,VU,NT,N,2011.2
Plutonia machadoi,,LR/nt,CR,N,2011.1
Plutonia reticulata,,EN,CR,G,2011.1
Pseudanodonta complanata,Depressed River Mussel,LR/nt,VU,G,2011.2
Pseudocampylaea portosanctana,,LR/nt,LC,N,2011.1
Pyrenaearia cotiellae,,LR/nt,VU,N,2011.1
Pyrenaearia molae,,VU,CR,N,2011.1
Pyrenaearia navasi,,LR/nt,VU,N,2011.1
Pyrenaearia organiaca,,LR/nt,EN,N,2011.1
Pyrenaearia parva,,LR/nt,VU,N,2011.1
Pyrenaearia velascoi,,LR/nt,VU,N,2011.1
Pyrgulopsis avernalis,Moapa Pebblesnail,EN,VU,N,2011.2
Pyrgulopsis robusta,Jackson Lake Springsnail,DD,LC,N,2011.2
Quadrula succissa,Purple Pigtoe,LR/nt,LC,N,2011.2
Renea bourguignatiana,,VU,CR,G,2011.1
Solatopupa guidoni,,LR/lc,DD,N,2011.1
Solatopupa psarolena,,LR/nt,VU,N,2011.1
Somatogyrus biangulatus,Angular Pebblesnail,CR,DD,N,2011.2
Somatogyrus decipiens,Hidden Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus excavatus,Ovate Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus obtusus,Moon Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus tenax,Savannah Pebblesnail,DD,NT,N,2011.2
Spirorbula latens,,VU,LC,N,2011.1
Spirorbula obtecta,,LR/nt,LC,N,2011.1
Suboestophora altamirai,,LR/nt,VU,G,2011.1
Suboestophora hispanica,,LR/nt,VU,G,2011.1
Tacheocampylaea raspailii,,DD,VU,N,2011.1
Theba arinagae,,VU,CR,G,2011.1
Theodoxus transversalis,Striped Nerite,DD,EN,N,2011.2
Thyrreniellina josephi,,VU,NT,N,2011.1
Trochidrobia punicea,,LR/nt,LC,N,2011.2
Trochulus caelatus,,DD,NT,N,2011.1
Trochulus caelatus,,DD,NT,N,2011.1
Trochulus graminicola,,DD,NT,N,2011.1
Trochulus oreinos,,DD,NT,N,2011.1
Unio crassus,Thick Shelled River Mussel,LR/nt,EN,N,2011.2
Vallonia suevica,,DD,EN,N,2011.1
Valvata utahensis,Utah Roundmouth Snail,DD,VU,N,2011.2
Vertigo genesii,Round-mouthed Whorl Snail,LR/cd,LC,N,2011.2
Vertigo geyeri,Geyer’s Whorl Snail,LR/cd,LC,N,2011.2
Victodrobia burni,,VU,LC,N,2011.2
Victodrobia elongata,,VU,LC,N,2011.2
Viviparus acerosus,,LR/nt,LC,N,2011.2
Westralunio carteri,,VU,LC,N,2011.2
Xerocrassa molinae,,VU,NT,N,2011.1
Xerocrassa montserratensis,,LR/nt,EN,G,2011.1
Xerosecta adolfi,,LR/nt,EN,N,2011.1
Xerotricha gasulli,,LR/nt,EN,G,2011.1
Xerotricha mariae,,VU,DD,N,2011.1
Xerotricha zujarensis,,LR/nt,DD,N,2011.1
FLOWERING PLANTS,,,,,
Allium rouyi,,CR,LC,N,2011.1
Anchusa crispa,,CR,EN,N,2011.1
Campnosperma seychellarum,,EN,CR,N,2011.2
Centranthus trinervis,,CR,EN,G,2011.1
Colea seychellarum,,VU,EN,N,2011.2
Craterispermum microdon,,VU,EN,N,2011.2
Deckenia nobilis,,EN,VU,N,2011.2
Dillenia ferruginea,,VU,NT,N,2011.2
Diospyros seychellarum,,VU,NT,N,2011.2
Erythroxylum sechellarum,,VU,LC,N,2011.2
Glionnetia sericea,,VU,EN,N,2011.2
Grisollea thomassetii,,VU,CR,N,2011.2
Ixora pudica,,VU,NT,N,2011.2
Limonium strictissimum,,CR,EN,N,2011.1
Lodoicea maldivica,Coco de Mer,VU,EN,N,2011.1
Memecylon elaeagni,,VU,LC,N,2011.2
Mimusops sechellarum,,VU,NT,N,2011.2
Nephrosperma van-houtteanum,,LR/nt,LC,N,2011.2
Pandanus multispicatus,,VU,NT,N,2011.2
Pandanus sechellarum,Seychelles Pandanus,VU,NT,N,2011.2
Phoenicophorium borsigianum,,LR/nt,LC,N,2011.2
Rothmannia annae,Wright's Gardenia,VU,CR,N,2011.2
Schefflera procumbens,,VU,CR,N,2011.2
Silene hicesiae,,CR,VU,G,2011.1
Verschaffeltia splendida,,LR/cd,NT,N,2011.2
Zelkova abelicea,,VU,EN,N,2011.2
CONIFERS,,,,,
Abies cephalonica,Greek Fir,LR/nt,LC,N,2011.2
Abies koreana,Korean Fir,LR/nt,EN,N,2011.2
Abies numidica,,VU,CR,N,2011.2
Abies pinsapo,,LR/nt,EN,G,2011.2
Abies spectabilis,,LR/lc,NT,N,2011.2
Abies ziyuanensis,Ziyuan Fir,CR,EN,N,2011.2
Glyptostrobus pensilis,,EN,CR,G,2011.2
Juniperus brevifolia,,EN,VU,N,2011.1
Picea koyamae,Koyama's Spruce,EN,CR,N,2011.2
Picea omorika,Serbian Spruce,VU,EN,N,2011.2
Pinus longaeva,,VU,LC,N,2011.2
Taxus contorta,,VU,EN,G,2011.2
Taxus wallichiana,,DD,EN,N,2011.2
Tetraclinis articulata,,LR/nt,LC,N,2011.2
Thuja koraiensis,,DD,VU,N,2011.2
