Scientific name,Common name,"IUCN Red List(2013)Category","IUCN RedList (2014)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Allocebus trichotis,Hairy-eared Dwarf Lemur,DD,VU,N,2014
Avahi betsileo,Betsileo Woolly Lemur,DD,EN,N,2014
Avahi laniger,Eastern Woolly Lemur,LC,VU,G,2014
Avahi meridionalis,Southern Woolly Lemur,DD,EN,N,2014
Avahi peyrierasi,Peyrieras' Woolly Lemur,DD,VU,N,2014
Avahi ramanantsoavanai,Ramantsoavana's Southern Woolly Lemur,DD,VU,N,2014
Avahi unicolor,Sambirano Woolly Lemur,DD,EN,N,2014
Cheirogaleus major,Geoffroy's Dwarf Lemur,LC,DD,N,2014
Cheirogaleus sibreei,Sibree's Dwarf Lemur,DD,CR,N,2014
Dasypus pilosus,Hairy Long-nosed Armadillo,VU,DD,N,2014
Dasypus sabanicola,Northern Long-nosed Armadillo,LC,NT,N,2014
Daubentonia madagascariensis,Aye-aye,NT,EN,G,2014
Eulemur albifrons,White-fronted Lemur,VU,EN,G,2014
Eulemur cinereiceps,White-collared Lemur,EN,CR,G,2014
Eulemur collaris,Collared Brown Lemur,VU,EN,G,2014
Eulemur coronatus,Crowned Lemur,VU,EN,G,2014
Eulemur mongoz,Mongoose Lemur,VU,CR,G,2014
Eulemur rufus,Red Brown Lemur,DD,VU,N,2014
Hapalemur aureus,Golden Bamboo Lemur,EN,CR,G,2014
Indri indri,Indri,EN,CR,G,2014
Lemur catta,Ring-tailed Lemur,NT,EN,G,2014
Lepilemur aeeclis,Antafia Sportive Lemur,DD,VU,N,2014
Lepilemur ahmansonorum,Ahmanson’s Sportive Lemur,DD,EN,N,2014
Lepilemur betsileo,Betsileo Sportive Lemur,DD,EN,N,2014
Lepilemur dorsalis,Gray’s Sportive Lemur,DD,VU,N,2014
Lepilemur edwardsi,Milne-Edwards's Sportive Lemur,VU,EN,G,2014
Lepilemur fleuretae,Fleurete's Sportive Lemur,DD,CR,N,2014
Lepilemur grewcockorum,Grewcock's Sportive Lemur,DD,EN,N,2014
Lepilemur hubbardorum,Hubbard's Sportive Lemur,DD,EN,N,2014
Lepilemur jamesorum,James' Sportive Lemur,DD,CR,N,2014
Lepilemur leucopus,White-footed Sportive Lemur,DD,EN,N,2014
Lepilemur microdon,Small-toothed Sportive Lemur,DD,EN,N,2014
Lepilemur milanoii,Daraina Sportive Lemur,DD,EN,N,2014
Lepilemur mittermeieri,Mittermeier's Sportive Lemur,DD,EN,N,2014
Lepilemur mustelinus,Weasel Sportive Lemur,DD,NT,N,2014
Lepilemur otto,Otto's Sportive Lemur,DD,EN,N,2014
Lepilemur petteri,Petter's Sportive Lemur,DD,VU,N,2014
Lepilemur randrianasoloi,Randrianasolo's Sportive Lemur,DD,EN,N,2014
Lepilemur ruficaudatus,Red-tailed Sportive Lemur,DD,VU,N,2014
Lepilemur sahamalazensis,Sahamalaza Peninsula Sportive Lemur,DD,CR,N,2014
Lepilemur seali,Seal's Sportive Lemur,DD,VU,N,2014
Lepilemur tymerlachsoni,Nosy Be Sportive Lemur,DD,CR,N,2014
Lepilemur wrightae,Wright's Sportive Lemur,DD,EN,N,2014
Manis crassicaudata,Indian Pangolin,NT,EN,G,2014
Manis culionensis,Philippine Pangolin,NT,EN,N,2014
Manis javanica,Sunda Pangolin,EN,CR,N,2014
Manis pentadactyla,Chinese Pangolin,EN,CR,N,2014
Microcebus bongolavensis,Bongolava Mouse Lemur,DD,EN,N,2014
Microcebus danfossi,Danfoss' Mouse Lemur,DD,EN,N,2014
Microcebus jollyae,Jolly's Mouse Lemur,DD,EN,N,2014
Microcebus lehilahytsara,Goodman's Mouse Lemur,DD,VU,N,2014
Microcebus mamiratra,Claire's Mouse Lemur,DD,CR,N,2014
Microcebus mittermeieri,Mittermeier's Mouse Lemur,DD,EN,N,2014
Microcebus myoxinus,Peters’ Mouse Lemur,DD,VU,N,2014
Microcebus rufus,Rufous Mouse Lemur,LC,VU,N,2014
Microcebus simmonsi,Simmons' Mouse Lemur,DD,EN,N,2014
Microcebus tavaratra,Tavaratra Mouse Lemur,EN,VU,N,2014
Mirza coquereli,Coquerel's Giant Mouse Lemur,NT,EN,G,2014
Mirza zaza,Northern Giant Mouse Lemur,VU,EN,G,2014
Phaner electromontis,Amber Mountain Fork-marked Lemur,VU,EN,G,2014
Phaner furcifer,Masoala Fork-marked Lemur,LC,VU,G,2014
Phaner pallescens,Pale Fork-marked Lemur,LC,EN,G,2014
Phaner parienti,Sambirano Fork-marked Lemur,VU,EN,G,2014
Phataginus tetradactyla,Black-bellied Pangolin,LC,VU,N,2014
Phataginus tricuspis,White-bellied Pangolin,NT,VU,N,2014
Propithecus deckenii,Van der Decken’s Sifaka,VU,EN,G,2014
Propithecus diadema,Diademed Sifaka,EN,CR,G,2014
Propithecus tattersalli,Golden-crowned Sifaka,EN,CR,G,2014
Propithecus verreauxi,Verreaux's Sifaka,VU,EN,G,2014
Smutsia gigantea,Giant Ground Pangolin,NT,VU,N,2014
Smutsia temminckii,Temminck's Ground Pangolin,LC,VU,N,2014
Varecia rubra,Red Ruffed Lemur,EN,CR,G,2014
,,,,,
BIRDS,,,,,
Accipiter erythrauchen,Rufous-necked Sparrowhawk,LC,NT,G,2014
Accipiter henicogrammus,Moluccan Goshawk,LC,NT,N,2014
Amazona finschi,Lilac-crowned Amazon,VU,EN,N,2014
Anodorhynchus hyacinthinus,Hyacinth Macaw,EN,VU,G,2014
Anthus melindae,Malindi Pipit,NT,LC,N,2014
Apalharpactes reinwardtii,Javan Trogon,EN,VU,N,2014
Arborophila crudigularis,Taiwan Partridge,NT,LC,N,2014
Brachyramphus brevirostris,Kittlitz's Murrelet,CR,NT,G,2014
Corvus validus,Long-billed Crow,LC,NT,N,2014
Cryptoleucopteryx plumbea,Plumbeous Hawk,NT,VU,N,2014
Didunculus strigirostris,Tooth-billed Pigeon,EN,CR,G,2014
Estrilda thomensis,Cinderella Waxbill,NT,LC,N,2014
Eulidia yarrellii,Chilean Woodstar,EN,CR,G,2014
Falco fasciinucha,Taita Falcon,NT,VU,G,2014
Falco punctatus,Mauritius Kestrel,VU,EN,G,2014
Gypaetus barbatus,Bearded Vulture,LC,NT,N,2014
Gyps himalayensis,Himalayan Griffon,LC,NT,N,2014
Hydrobates matsudairae,Matsudaira's Storm-petrel,DD,VU,N,2014
Hylocichla mustelina,Wood Thrush,LC,NT,N,2014
Liocichla bugunorum,Bugun Liocichla,VU,CR,G,2014
Megascops seductus,Balsas Screech-owl,NT,LC,N,2014
Otus beccarii,Biak Scops-owl,EN,VU,N,2014
Paradisaea decora,Goldie's Bird-of-paradise,NT,VU,N,2014
Pica nuttalli,Yellow-billed Magpie,LC,NT,G,2014
Pitta kochi,Whiskered Pitta,VU,NT,N,2014
Plectrophenax hyperboreus,McKay's Bunting,NT,LC,N,2014
Prioniturus luconensis,Green Racquet-tail,VU,EN,G,2014
Psophia leucoptera,White-winged Trumpeter,LC,NT,N,2014
Semioptera wallacii,Standardwing,LC,NT,N,2014
Spizaetus isidori,Black-and-chestnut Eagle,VU,EN,N,2014
Tringa brevipes,Grey-tailed Tattler,LC,NT,N,2014
Xenocopsychus ansorgei,Angola Cave-chat,NT,LC,N,2014
,,,,,
REPTILES,,,,,
Barkudia insularis,Madras Spotted Skink,DD,CR,N,2014
Achalinus jinggangensis,Zong's Odd-scaled Snake,DD,CR,N,2014
Brookesia peyrierasi,,VU,EN,E,2014
Mecistops cataphractus,Slender-snouted Crocodile,DD,CR,N,2014
Mochlus mafianum,Mafia Writhing Skink,EN,LC,N,2014
Scolecoseps acontias,Sandy Limbless Skink,VU,DD,N,2014
Tantilla jani,Jan's Centipede Snake,DD,VU,N,2014
Thermophis baileyi,Xizang Hot-spring Keel Back,VU,NT,N,2014
Tomistoma schlegelii,False Gharial,EN,VU,N,2014
Trimetopon slevini,Slevin's Tropical Ground Snake,NT,LC,N,2014
Trioceros incornutus,Ukinga Hornless Chameleon,VU,LC,N,2014
Trioceros laterispinis,Spiny-sided Chameleon,VU,EN,N,2014
,,,,,
AMPHIBIANS,,,,,
Altiphrynoides osgoodi,Osgood's Ethiopian Toad,VU,CR(PE),G,2014
Ameerega pongoensis,,DD,VU,N,2014
Ameerega silverstonei,Silverstone's Poison Frog,DD,EN,N,2014
Amietia desaegeri,,DD,LC,N,2014
Amietia tenuoplicata,,DD,NT,N,2014
Andinobates dorisswansonae,,CR,VU,G,2014
Andinobates tolimensis,,EN,VU,G,2014
Arthroleptis nikeae,Nike's Squeaker,EN,CR,N,2014
Arthroleptis troglodytes,Cave Squeaker,CR,CR(PE),N,2014
Atelopus laetissimus,,CR,EN,N,2014
Atelopus nahumae,,CR,EN,N,2014
Bolitoglossa odonnelli,O'Donnell's Salamander,EN,NT,N,2014
Bromeliohyla bromeliacia,Bromeliad Treefrog,EN,LC,N,2014
Centrolene robledoi,,VU,LC,N,2014
Craugastor gulosus,,EN,CR(PE),N,2014
Craugastor obesus,,EN,CR(PE),N,2014
Duellmanohyla soralia,Copan Brook Frog,CR,EN,N,2014
Gastrotheca atympana,,DD,VU,N,2014
Hyalinobatrachium pellucidum,Rio Azuela Glass Frog,EN,NT,N,2014
Hyla suweonensis,Suweon Treefrog,DD,EN,N,2014
Hyloscirtus colymba,La Loma Treefrog,CR,NT,N,2014
Laotriton laoensis,,DD,EN,N,2014
Leptopelis vermiculatus,Amani Forest Treefrog,VU,EN,N,2014
Mantella cowanii,Cowan's Mantella,CR,EN,N,2014
Nototriton brodiei,,CR,EN,N,2014
Oreobates ayacucho,,DD,EN,N,2014
Phrynobatrachus pintoi,,DD,EN,N,2014
Phrynopus peruanus,Peters' Andes Frog,DD,CR,N,2014
Pristimantis cruciocularis,,LC,VU,N,2014
Pristimantis fallax,,EN,VU,N,2014
Pristimantis melanogaster,,DD,EN,N,2014
Pristimantis ornatus,,LC,EN,N,2014
Pristimantis pardalinus,,DD,CR,N,2014
Pseudophilautus ocularis,,EN,CR,N,2014
Ptychohyla hypomykter,Copan Stream Frog,CR,LC,N,2014
Ranitomeya flavovittata,,DD,LC,N,2014
Ranitomeya sirensis,Sira Poison Frog,EN,LC,N,2014
Sachatamia punctulata,,VU,EN,N,2014
Telmatobius atahualpai,Amazonas Water Frog,DD,NT,N,2014
Telmatobius timens,,DD,CR,N,2014
Xenopus largeni,Largen's Clawed Frog,DD,EN,N,2014
,,,,,
FISHES,,,,,
Acanthobrama centisquama,Long-spine Bream,EN,CR,N,2014
Acanthobrama lissneri,Jordan Bream,LC,NT,N,2014
Acanthobrama telavivensis,Yarkon Bream,EW,VU,G,2014
Alburnus heckeli,Hazer Shah Kuli,DD,LC,N,2014
Alburnus orontis,Orontes Spotted Bleak,EN,VU,N,2014
Alburnus qalilus,Syrian Spotted Bleak,VU,EN,N,2014
Alburnus tarichi,Van Shah Kuli,DD,NT,N,2014
Amblyopsis rosae,Ozark Cavefish,VU,NT,N,2014
Amblyopsis spelaea,Northern Cavefish,VU,NT,N,2014
Anguilla bengalensis,Indian Mottled Eel,LC,NT,N,2014
Anguilla bicolor,Shortfin Eel,LC,NT,G,2014
Aphanius anatoliae,Lake Tuz Toothcarp,DD,NT,N,2014
Aphanius asquamatus,Hazer Toothcarp,DD,LC,N,2014
Aphanius splendens,Gölçük Toothcarp,CR,EX,N,2014
Aphanius sureyanus,Burdur Toothcarp,DD,EN,N,2014
Caecocypris basimi,Haditha Cavefish,VU,CR(PE),N,2014
Canthigaster rapaensis,,VU,EN,N,2014
Capoeta bergamae,Aegean Scraper,VU,NT,N,2014
Carasobarbus canis,Jordan Himri,LC,NT,N,2014
Carasobarbus chantrei,Orontes Himri,EN,NT,N,2014
Catostomus microps,Modoc Sucker,EN,NT,N,2014
Catostomus santaanae,Santa Ana Sucker,VU,EN,G,2014
Catostomus warnerensis,Warner Sucker,VU,EN,N,2014
Chasmistes cujus,Cui-ui,CR,EN,G,2014
Chondrostoma fahirae,Tefenni Nase,CR(PE),EN,N,2014
Chondrostoma holmwoodii,Eastern Aegean Nase,DD,VU,N,2014
Chrosomus cumberlandensis,Blackside Dace,VU,EN,N,2014
Cobitis bilseli,Great Bey?ehir Spined Loach,CR,EN,N,2014
Cobitis levantina,Orontes Sspined Loach,VU,EN,N,2014
Cobitis puncticulata,Brown Sspined Loach,CR,EN,N,2014
Corcyrogobius liechtensteini,Liechtenstein's Goby,DD,LC,N,2014
Cottus asperrimus,Rough Sculpin,VU,NT,N,2014
Cottus greenei,Shoshone Sculpin,VU,NT,N,2014
Cottus leiopomus,Wood River Sculpin,VU,NT,N,2014
Crenichthys baileyi,White River Killifish,VU,EN,N,2014
Crossocheilus klatti,Anatolian Golden Barb,DD,EN,N,2014
Cyprinella monacha,Spotfin Chub,LR/nt,VU,N,2014
Cyprinodon diabolis,Devil's Hole Pupfish,VU,CR,G,2014
Cyprinodon tularosa,White Sand's Pupfish,VU,EN,N,2014
Didogobius schlieweni,,DD,LC,N,2014
Didogobius splechtnai,Spechtna's Goby,DD,LC,N,2014
Emblemariopsis tayrona,Tayrona Blenny,VU,DD,N,2014
Entomacrodus cadenati,West African Rockhopper,DD,LC,N,2014
Eretmophorus kleinenbergi,,DD,LC,N,2014
Etheostoma acuticeps,Sharphead Darter,LR/nt,VU,N,2014
Etheostoma aquali,Coppercheek Darter,VU,NT,N,2014
Etheostoma okaloosae,Okaloosa Darter,EN,LC,N,2014
Eucyclogobius newberryi,Tidewater Goby,VU,NT,N,2014
Galaxias postvectis,Shortjaw Kokopu,VU,EN,N,2014
Gammogobius steinitzi,Steinitz's Goby,DD,LC,N,2014
Garra ghorensis,Dear Sea Garra,CR,EN,N,2014
Gobio hettitorum,Taurus Gudgeon,VU,CR,N,2014
Gobiomorphus alpinus,Tarndale Bully,VU,LC,N,2014
Gobius ater,Bellotti's Goby,DD,LC,N,2014
Gobius kolombatovici,,DD,LC,N,2014
Gouania willdenowi,Blunt-snouted Clingfish,DD,LC,N,2014
Haplochromis flaviijosephi,Jordan Mouthbrooder,EN,VU,N,2014
Hemigrammocapoeta caudomaculata,Asi Golden Barb,DD,LC,N,2014
Hemigrammocapoeta culiciphaga,Red Stripe Barb,DD,LC,N,2014
Hemigrammocapoeta kemali,Tuz Golden Barb,CR,EN,N,2014
Hemigrammocapoeta nana,Damascus Garra,VU,NT,N,2014
Hemitremia flammea,Flame Chub,DD,NT,N,2014
Hypomesus transpacificus,Delta Smelt,EN,CR,G,2014
Knipowitschia mermere,Gediz Dwarf Goby,CR,VU,N,2014
Ladigesocypris irideus,Anatolian Ghizani,DD,NT,N,2014
Lepidomeda vittata,Little Colorado Spinedace,VU,EN,N,2014
Luciobarbus longiceps,Jordan Barbel,VU,EN,G,2014
Lythrurus snelsoni,Ouachita Mountain Shiner,VU,LC,N,2014
Macrhybopsis gelida,Sturgeon Chub,VU,LC,N,2014
Microlipophrys adriaticus,,DD,LC,N,2014
Microlipophrys dalmatinus,,DD,LC,N,2014
Micropterus treculii,Guadalupe Bass,DD,NT,N,2014
Millerigobius macrocephalus,,DD,LC,N,2014
Moxostoma hubbsi,Copper Redhorse,VU,EN,N,2014
Neochanna apoda,Brown Mudfish,VU,EN,N,2014
Neochanna burrowsius,Canterbury Mudfish,VU,CR,N,2014
Neochanna diversus,Black Mudfish,DD,EN,N,2014
Neochanna rekohua,Chatham Mudfish,VU,LC,N,2014
Notropis anogenus,Pugnose Shiner,NT,LC,N,2014
Notropis bifrenatus,Bridle Shiner,NT,LC,N,2014
Notropis jemezanus,Rio Grande Shiner,DD,LC,N,2014
Notropis topeka,Topeka Shiner,NT,LC,N,2014
Noturus furiosus,Carolina Madtom,DD,NT,N,2014
Odondebuenia balearica,Coralline Goby,DD,LC,N,2014
Opeatogenys gracilis,,VU,LC,N,2014
Oxynoemacheilus angorae,Sakarya Loach,DD,LC,N,2014
Oxynoemacheilus galilaeus,Galilean Loach,DD,CR,N,2014
Oxynoemacheilus insignis,Palestine Loach,DD,NT,N,2014
Oxynoemacheilus leontinae,Lebanese Loach,DD,LC,N,2014
Oxynoemacheilus seyhanensis,Samanti Loach,EN,CR,N,2014
Pagrus auratus,Snapper,DD,LC,N,2014
Pagrus pagrus,Red Porgy,EN,LC,N,2014
Parablennius zvonimiri,Zvonimir's Blenny,DD,LC,N,2014
Percina lenticula,Freckled Darter,VU,NT,N,2014
Percina nasuta,Longnose Darter,LR/nt,LC,N,2014
Percina pantherina,Leopard Darter,VU,EN,N,2014
Petroleuciscus smyrnaeus,Smyrna Chub,DD,LC,N,2014
Pomatoschistus bathi,,DD,LC,N,2014
Pomatoschistus knerii,Kner's Goby,DD,LC,N,2014
Protemblemaria punctata,,VU,DD,N,2014
Pseudophoxinus antalyae,Antalya Spring Minnow,DD,VU,N,2014
Pseudophoxinus battalgili,Tuz Lake Spring Minnow,EN,LC,N,2014
Pseudophoxinus egridiri,Yag Baligi,CR,EN,N,2014
Pseudophoxinus handlirschi,E?irdir Minnow,CR(PE),EX,N,2014
Pseudophoxinus maeandri,Apamean Spring Minnow,DD,EN,N,2014
Pseudophoxinus maeandricus,Sand?kl? Spring Minnow,DD,CR,N,2014
Pseudophoxinus zeregi,Levantine Spring Minnow,CR(PE),LC,N,2014
Pteronotropis hubbsi,Bluehead Shiner,DD,NT,N,2014
Relictus solitarius,Relict Dace,EN,NT,N,2014
Sabanejewia aurata,Golden Spined Loach,DD,LC,N,2014
Scardinius elmaliensis,Elmal? Rudd,DD,EN,N,2014
Seminemacheilus lendlii,Northern Pond Loach,DD,VU,N,2014
Siphateles alvordensis,Alvord Chub,VU,NT,N,2014
Speleogobius trigloides,Grotto Goby,DD,LC,N,2014
Squalius anatolicus,Central Anatolian Pike Chub,EN,LC,N,2014
Squalius cephaloides,Thick Lipped Chub,DD,VU,N,2014
Takifugu niphobles,Grass Puffer,DD,LC,N,2014
Takifugu poecilonotus,Finepatterned Puffer,DD,LC,N,2014
Takifugu xanthopterus,Yellowfin Puffer,DD,LC,N,2014
Thoburnia atripinnis,Blackfin Sucker,LR/lc,NT,N,2014
Thunnus orientalis,Pacific Bluefin Tuna,LC,VU,N,2014
Torquigener brevipinnis,Yellow-stripe Toadfish,DD,LC,N,2014
Tristramella sacra,Long Jaw Tristramella,CR(PE),EX,N,2014
Tristramella simonis,Short Jaw Tristramella,LC,VU,N,2014
Turcinoemacheilus kosswigi,Zagroz Dwarf Loach,DD,LC,N,2014
Typhlichthys subterraneus,Southern Cavefish,VU,NT,N,2014
Typhlogarra widdowsoni,Haditha Cave Garra,VU,CR,G,2014
Zosterisessor ophiocephalus,Grass Goby,DD,LC,N,2014
,,,,,
MOLLUSCS,,,,,
Bythinella occasiuncula,,NT,VU,N,2014
Cucumerunio novaehollandiae,Australian River Mussel,DD,LC,N,2014
Graecoanatolica lacustristurca,,VU,EN,N,2014
Graecoanatolica pamphylica,,VU,EN,N,2014
Hyridella narracanensis,Southern River Mussel,DD,NT,N,2014
Melanopsis pachya,,DD,CR(PE),N,2014
Plectostoma retrovertens,,VU,CR(PE),G,2014
Plectostoma sciaphilum,,CR(PE),EX,N,2014
Plethobasus cyphyus,Sheepnose,LR/nt,EN,N,2014
Sculptiferussacia clausiliaeformis,,VU,EN,G,2014
Theodoxus anatolicus,,LC,NT,N,2014
Unio mancus,,LC,NT,N,2014
Valvata saulcyi,,NT,LC,N,2014
Westralunio carteri,Carter's Freshwater Mussel,LC,VU,N,2014
,,,,,
BEETLES,,,,,
Allopentarthrum elumbe,,EX,LC,N,2014
Cicindela columbica,Columbia River Tiger Beetle,VU,EN,N,2014
Cicindela marginipennis,Cobblestone Tiger Beetle,LR/nt,VU,N,2014
Dryotribus mimeticus,,EX,LC,N,2014
Gymnopholus lichenifer,Lichen Weevil,VU,EN,N,2014
Hadramphus tuberculatus,Cantebury Knobbled Weevil,EX,CR,N,2014
Macrancylus linearis,,EX,LC,N,2014
Polposipus herculeanus,Frigate Island Giant Tenebrionid Beetle,CR,VU,G,2014
,,,,,
CRUSTACEANS,,,,,
Austrogammarus australis,Dandenong Freshwater Amphipod,EX,CR,N,2014
,,,,,
HYMENOPTERA,,,,,
Megachile pluto,Wallace's Giant Bee,DD,VU,N,2014
,,,,,
ORTHOPTERA,,,,,
Apteromantis aptera,,LR/nt,LC,N,2014
,,,,,
OTHER INVERTEBRATES,,,,,
Antiponemertes allisonae,,VU,EN,N,2014
Argonemertes hillii,,LR/nt,LC,N,2014
Driloleirus macelfreshi,Oregon Giant Earthworm,VU,EN,N,2014
Edwardsina tasmaniensis,Tasmanian Torrent Midge,CR,VU,N,2014
Eusthenia nothofagi,Otway Stonefly,DD,VU,N,2014
Geonemertes rodericana,,DD,EX,N,2014
Komarekiona eatoni,Kentucky Earthworm,VU,DD,N,2014
Labidura herculeana,St Helena Giant Earwig,CR,EX,G,2014
Megascolides australis,Giant Gippsland Earthworm,VU,EN,N,2014
Phallodriloides macmasterae,,CR,DD,N,2014
Prosadenoporus agricola,,DD,CR(PE),N,2014
Riekoperla darlingtoni,Mount Donna Buang Wingless Stonefly,VU,CR,G,2014
,,,,,
CONIFERS,,,,,
Agathis montana,Mount Panié Kauri,NT,CR,G,2014
,,,,,
MAGNOLIAS,,,,,
Magnolia calimaensis,,EN,CR,G,2014
Magnolia cararensis,,EN,CR,G,2014
Magnolia colombiana,,VU,CR,G,2014
Magnolia delavayi,,EN,LC,N,2014
Magnolia dixonii,,EN,VU,N,2014
Magnolia ernestii,Yellow Lily-tree,EN,DD,N,2014
Magnolia grandis,,VU,CR,G,2014
Magnolia hypolampra,,VU,DD,N,2014
Magnolia katiorum,,EN,CR,G,2014
Magnolia mahechae,,CR,EN,N,2014
Magnolia ovoidea,,EN,CR,G,2014
Magnolia panamensis,,EN,LC,N,2014
Magnolia polyhypsophylla,,EN,CR,G,2014
Magnolia praecalva,,LR/lc,DD,N,2014
Magnolia rostrata,,VU,EN,G,2014
Magnolia sambuensis,,VU,NT,N,2014
Magnolia sargentiana,,EN,VU,N,2014
Magnolia schiedeana,,EN,VU,N,2014
Magnolia singapurensis,,LR/lc,DD,N,2014
Magnolia urraoensis,,VU,EN,G,2014
Magnolia virolinensis,,VU,CR,G,2014
,,,,,
ORCHIDS,,,,,
Cypripedium fargesii,Farges' Cypripedium,CR,EN,N,2014
Cypripedium henryi,Henry's Cypripedium,CR,VU,N,2014
Cypripedium yunnanense,Yunnan Cypripedium,CR,EN,N,2014
,,,,,
OTHER FLOWERING PLANTS,,,,,
Alopecurus aequalis,Orange Foxtail,DD,LC,E,2014
Acacia torrei,,DD,LC,N,2014
Achyranthes talbotii,,VU,NT,N,2014
Albizia suluensis,Zulu Albizia,VU,EN,N,2014
Amaranthus anderssonii,Amaranthus,DD,LC,N,2014
Begonia bonus-henricus,,VU,EN,N,2014
Begonia furfuracea,,VU,EN,N,2014
Betula raddeana,Radde's Birch,LR/nt,LC,N,2014
Boutiquea platypetala,,EN,VU,N,2014
Brugmansia aurea,,VU,EW,N,2014
Brugmansia versicolor,,NT,EW,N,2014
Colvillea racemosa,Colville's Glory,LR/nt,LC,N,2014
Cordia scouleri,,VU,DD,N,2014
Costus geothyrsus,,VU,CR,G,2014
Crataegus nigra,Hungarian Thorn,VU,EN,N,2014
Cyathula fernando-poensis,,VU,EN,N,2014
Cycas curranii,Curran's Pitogo,CR(PE),CR,E,2014
Delonix boiviniana,,LR/nt,LC,N,2014
Delonix brachycarpa,,LR/nt,LC,N,2014
Delonix decaryi,,LR/nt,VU,N,2014
Delonix floribunda,,LR/nt,VU,N,2014
Delonix regia,Flame Tree,VU,LC,N,2014
Delonix tomentosa,,EN,CR,N,2014
Delonix velutina,,CR,EN,N,2014
Fimbristylis littoralis,Lesser Fimbristylis,DD,LC,E,2014
Grewia limae,,DD,EN,N,2014
Impatiens etindensis,,VU,EN,N,2014
Impatiens grandisepala,,DD,CR,N,2014
Isolepis cernua,Slender Club-rush,DD,LC,E,2014
Itaya amicorum,,DD,LC,N,2014
Limosella aquatica,Mudwort,DD,LC,E,2014
Maerua andradae,,DD,LC,N,2014
Mentha aquatica,Water Mint,DD,LC,E,2014
Metrosideros bartlettii,Bartlett's Rata,EN,CR,N,2014
Montia fontana,Blinks,DD,LC,E,2014
Nepenthes adnata,,DD,EN,N,2014
Nepenthes campanulata,Bell-Shaped Pitcher-Plant,DD,VU,N,2014
Nepenthes deaniana,,DD,NT,N,2014
Nepenthes klossii,,VU,EN,G,2014
Nepenthes papuana,,DD,LC,N,2014
Nepenthes sumatrana,,LR/lc,CR,G,2014
Nepenthes tenuis,,DD,EN,N,2014
Nepenthes treubiana,,VU,LC,N,2014
Nymphaea alba,European White Waterlily,DD,LC,E,2014
Osmunda regalis,Royal Fern,DD,LC,E,2014
Potamogeton pusillus,Lesser Pondweed,DD,LC,E,2014
Ranunculus aquatilis,Common Water-crowfoot,DD,LC,E,2014
Sphenoclea zeylanica,,DD,LC,E,2014
Typha latifolia,Broadleaf Cattail,DD,LC,E,2014
Utricularia gibba,Humped Bladderwort,DD,LC,E,2014
Uvariopsis vanderystii,,EN,VU,N,2014
