"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Zebrilus undulatus","LC","NT","G","2012"
"Zimmerius cinereicapilla","LC","VU","G","2012"
"Calamaria ingeri","EN","CR","G","2012"
"Cyclura lewisi","CR","EN","G","2012"
"Naja siamensis","LC","VU","G","2012"
"Anodonthyla hutchisoni","DD","EN","G","2012"
"Leptoxis taeniata","VU","EN","G","2012"
"Marstonia ozarkensis","DD","CR","G","2012"
"Potamilus capax","CR","VU","G","2012"
"Pyrgulopsis metcalfi","VU","EN","G","2012"
"Pyrgulopsis roswellensis","DD","VU","G","2012"
"Pyrgulopsis thompsoni","VU","NT","G","2012"
"Pyrgulopsis trivialis","DD","CR","G","2012"
"Stagnicola bonnevillensis","VU","CR","G","2012"
"Borassus madagascariensis","VU","EN","G","2012"
"Dypsis andrianatonga","LR/nt","VU","G","2012"
"Dypsis basilonga","EN","CR","G","2012"
"Dypsis malcomberi","VU","EN","G","2012"
"Dypsis mcdonaldiana","VU","EN","G","2012"
"Dypsis sahanofensis","EN","CR","G","2012"
"Masoala madagascariensis","VU","CR","G","2012"
"Newtonia erlangeri","LR/nt","EN","G","2012"
"Ravenea lakatra","EN","CR","G","2012"
"Ravenea louvelii","EN","CR","G","2012"
"Tayassu pecari","NT","VU","G","2013"
"Urocyon littoralis","CR","NT","G","2013"
"Acrocephalus rodericanus","EN","NT","G","2013"
"Acrocephalus sorghophilus","VU","EN","G","2013"
"Ardeotis kori","LC","NT","G","2013"
"Cacatua alba","VU","EN","G","2013"
"Emberiza aureola","VU","EN","G","2013"
"Eupodotis afra","LC","VU","G","2013"
"Foudia flavicans","VU","NT","G","2013"
"Garrulax rufifrons","NT","EN","G","2013"
"Oriolus mellianus","VU","EN","G","2013"
"Oryzoborus maximiliani","NT","VU","G","2013"
"Phalacrocorax capensis","NT","EN","G","2013"
"Picoides borealis","VU","NT","G","2013"
"Polemaetus bellicosus","NT","VU","G","2013"
"Sarothrura ayresi","EN","CR","G","2013"
"Thalassarche chrysostoma","VU","EN","G","2013"
"Dermochelys coriacea","CR","VU","G","2013"
"Balebreviceps hillmani","EN","CR","G","2013"
"Duellmanohyla uranochroa","CR","EN","G","2013"
"Lithobates vibicarius","CR","VU","G","2013"
"Mannophryne olmonae","CR","VU","G","2013"
"Melanophryniscus admirabilis","NT","CR","G","2013"
"Cyprinodon pecosensis","CR","VU","G","2013"
"Dionda diaboli","VU","EN","G","2013"
"Ictalurus pricei","VU","EN","G","2013"
"Noturus taylori","VU","EN","G","2013"
"Oregonichthys crameri","VU","LC","G","2013"
"Percina antesella","VU","EN","G","2013"
"Percina cymatotaenia","EN","VU","G","2013"
"Percina jenkinsi","VU","CR","G","2013"
"Plagopterus argentissimus","VU","CR","G","2013"
"Pogonichthys macrolepidotus","EN","LC","G","2013"
"Cedrus atlantica","LC","EN","G","2013"
"Chamaecyparis lawsoniana","VU","NT","G","2013"
"Nageia maxima","VU","EN","G","2013"
"Nageia motleyi","LC","VU","G","2013"
"Picea purpurea","LC","NT","G","2013"
"Pinus albicaulis","VU","EN","G","2013"
"Pinus coulteri","LC","NT","G","2013"
"Pinus durangensis","LC","NT","G","2013"
"Pinus radiata","LR/cd","EN","G","2013"
"Podocarpus confertus","LC","EN","G","2013"
"Podocarpus ridleyi","LC","VU","G","2013"
"Podocarpus rumphii","LC","NT","G","2013"
"Podocarpus teysmannii","LC","NT","G","2013"
"Podocarpus urbanii","NT","CR","G","2013"
"Taxus chinensis","LC","EN","G","2013"
"Taxus globosa","NT","EN","G","2013"
"Tsuga canadensis","LC","NT","G","2013"
"Widdringtonia whytei","EN","CR","G","2013"
"Ariocarpus scaphirostris","VU","EN","G","2013"
"Cereus mirabella","VU","EN","G","2013"
"Discocactus horstii","EN","VU","G","2013"
"Diospyros katendei","CR","CR(PE)","G","2013"
"Mammillaria aureilanata","VU","EN","G","2013"
"Mammillaria guelzowiana","CR","LC","G","2013"
"Micranthocereus albicephalus","NT","VU","G","2013"
"Pereskia aureiflora","VU","EN","G","2013"
"Rhipsalis oblonga","NT","VU","G","2013"
"Thelocactus hastifer","VU","EN","G","2013"
"Avahi laniger","LC","VU","G","2014"
"Daubentonia madagascariensis","NT","EN","G","2014"
"Eulemur albifrons","VU","EN","G","2014"
"Eulemur cinereiceps","EN","CR","G","2014"
"Eulemur collaris","VU","EN","G","2014"
"Eulemur coronatus","VU","EN","G","2014"
"Eulemur mongoz","VU","CR","G","2014"
"Hapalemur aureus","EN","CR","G","2014"
"Indri indri","EN","CR","G","2014"
"Lemur catta","NT","EN","G","2014"
"Lepilemur edwardsi","VU","EN","G","2014"
"Manis crassicaudata","NT","EN","G","2014"
"Mirza coquereli","NT","EN","G","2014"
"Mirza zaza","VU","EN","G","2014"
"Phaner electromontis","VU","EN","G","2014"
"Phaner furcifer","LC","VU","G","2014"
"Phaner pallescens","LC","EN","G","2014"
"Phaner parienti","VU","EN","G","2014"
"Propithecus deckenii","VU","EN","G","2014"
"Propithecus diadema","EN","CR","G","2014"
"Propithecus tattersalli","EN","CR","G","2014"
"Propithecus verreauxi","VU","EN","G","2014"
"Varecia rubra","EN","CR","G","2014"
"Accipiter erythrauchen","LC","NT","G","2014"
"Anodorhynchus hyacinthinus","EN","VU","G","2014"
"Brachyramphus brevirostris","CR","NT","G","2014"
"Didunculus strigirostris","EN","CR","G","2014"
"Eulidia yarrellii","EN","CR","G","2014"
"Falco fasciinucha","NT","VU","G","2014"
"Falco punctatus","VU","EN","G","2014"
"Liocichla bugunorum","VU","CR","G","2014"
"Pica nuttalli","LC","NT","G","2014"
"Prioniturus luconensis","VU","EN","G","2014"
"Altiphrynoides osgoodi","VU","CR(PE)","G","2014"
"Andinobates dorisswansonae","CR","VU","G","2014"
"Andinobates tolimensis","EN","VU","G","2014"
"Acanthobrama telavivensis","EW","VU","G","2014"
"Anguilla bicolor","LC","NT","G","2014"
"Catostomus santaanae","VU","EN","G","2014"
"Chasmistes cujus","CR","EN","G","2014"
"Cyprinodon diabolis","VU","CR","G","2014"
"Hypomesus transpacificus","EN","CR","G","2014"
"Luciobarbus longiceps","VU","EN","G","2014"
"Typhlogarra widdowsoni","VU","CR","G","2014"
"Plectostoma retrovertens","VU","CR(PE)","G","2014"
"Sculptiferussacia clausiliaeformis","VU","EN","G","2014"
"Polposipus herculeanus","CR","VU","G","2014"
"Labidura herculeana","CR","EX","G","2014"
"Riekoperla darlingtoni","VU","CR","G","2014"
"Agathis montana","NT","CR","G","2014"
"Magnolia calimaensis","EN","CR","G","2014"
"Magnolia cararensis","EN","CR","G","2014"
"Magnolia colombiana","VU","CR","G","2014"
"Magnolia grandis","VU","CR","G","2014"
"Magnolia katiorum","EN","CR","G","2014"
"Magnolia ovoidea","EN","CR","G","2014"
"Magnolia polyhypsophylla","EN","CR","G","2014"
"Magnolia rostrata","VU","EN","G","2014"
"Magnolia urraoensis","VU","EN","G","2014"
"Magnolia virolinensis","VU","CR","G","2014"
"Costus geothyrsus","VU","CR","G","2014"
"Nepenthes klossii","VU","EN","G","2014"
"Nepenthes sumatrana","LR/lc","CR","G","2014"
"Arctocephalus townsendi","NT","LC","G","2015"
"Capra falconeri","EN","NT","G","2015"
"Caracal aurata","NT","VU","G","2015"
"Dendrohyrax validus","LC","NT","G","2015"
"Fossa fossana","NT","VU","G","2015"
"Lynx pardinus","CR","EN","G","2015"
"Mungotictis decemlineata","VU","EN","G","2015"
"Phocarctos hookeri","VU","EN","G","2015"
"Acrocephalus sechellensis","VU","NT","G","2015"
"Alca torda","LC","NT","G","2015"
"Amytornis dorotheae","NT","VU","G","2015"
"Anas chlorotis","EN","NT","G","2015"
"Anthus pratensis","LC","NT","G","2015"
"Aquila nipalensis","LC","EN","G","2015"
"Calidris canutus","LC","NT","G","2015"
"Calidris ferruginea","LC","NT","G","2015"
"Calidris ruficollis","LC","NT","G","2015"
"Calidris tenuirostris","VU","EN","G","2015"
"Camarhynchus pallidus","LC","VU","G","2015"
"Camarhynchus psittacula","LC","VU","G","2015"
"Fratercula arctica","LC","VU","G","2015"
"Gyps africanus","EN","CR","G","2015"
"Gyps coprotheres","VU","EN","G","2015"
"Gyps rueppelli","EN","CR","G","2015"
"Larus audouinii","NT","LC","G","2015"
"Lathamus discolor","EN","CR","G","2015"
"Limosa lapponica","LC","NT","G","2015"
"Melanitta fusca","EN","VU","G","2015"
"Necrosyrtes monachus","EN","CR","G","2015"
"Numenius madagascariensis","VU","EN","G","2015"
"Pterodroma axillaris","EN","VU","G","2015"
"Rhinoplax vigil","NT","CR","G","2015"
"Torgos tracheliotos","VU","EN","G","2015"
"Trigonoceps occipitalis","VU","CR","G","2015"
"Psammobates geometricus","EN","CR","G","2015"
"Leiopelma hamiltoni","EN","VU","G","2015"
"Rhinella atacamensis","LC","VU","G","2015"
"Coryphopterus hyalinus","LC","VU","G","2015"
"Maniola chia","LC","NT","G","2015"
"Magnolia lotungensis","LR/nt","EN","G","2015"
"Magnolia odora","LR/nt","VU","G","2015"
"Ailuropoda melanoleuca","EN","VU","G","2016"
"Antechinus bellus","LC","VU","G","2016"
"Cephalophus dorsalis","LC","NT","G","2016"
"Cephalophus leucogaster","LC","NT","G","2016"
"Cephalophus silvicultor","LC","NT","G","2016"
"Conilurus penicillatus","NT","VU","G","2016"
"Dasyurus viverrinus","NT","EN","G","2016"
"Dendrolagus spadix","LC","VU","G","2016"
"Desmana moschata","VU","EN","G","2016"
"Equus quagga","LC","NT","G","2016"
"Eupleres goudotii","EN","VU","G","2016"
"Galidictis fasciata","NT","VU","G","2016"
"Giraffa camelopardalis","LC","VU","G","2016"
"Gorilla beringei","EN","CR","G","2016"
"Gymnobelideus leadbeateri","EN","CR","G","2016"
"Hipposideros hypophyllus","EN","CR","G","2016"
"Leporillus conditor","VU","NT","G","2016"
"Melomys rubicola","CR","EX","G","2016"
"Mesembriomys gouldii","NT","VU","G","2016"
"Muntiacus atherodes","LC","NT","G","2016"
"Muntiacus vuquangensis","EN","CR","G","2016"
"Notomys cervinus","VU","NT","G","2016"
"Nyctalus lasiopterus","NT","VU","G","2016"
"Onychogalea fraenata","EN","VU","G","2016"
"Ornithorhynchus anatinus","LC","NT","G","2016"
"Pantholops hodgsonii","EN","NT","G","2016"
"Perameles gunnii","NT","VU","G","2016"
"Petauroides volans","LC","VU","G","2016"
"Petaurus australis","LC","NT","G","2016"
"Petrogale godmani","LC","NT","G","2016"
"Petrogale lateralis","NT","VU","G","2016"
"Petrogale mareeba","LC","NT","G","2016"
"Petrogale purpureicollis","LC","NT","G","2016"
"Phascolarctos cinereus","LC","VU","G","2016"
"Pongo pygmaeus","EN","CR","G","2016"
"Pteropus caniceps","NT","VU","G","2016"
"Pteropus livingstonii","EN","CR","G","2016"
"Thylamys fenestrae","LC","NT","G","2016"
"Thylamys velutinus","LC","NT","G","2016"
"Charadrius sanctaehelenae","CR","VU","G","2016"
"Chloropsis sonnerati","LC","VU","G","2016"
"Cyanoramphus forbesi","EN","VU","G","2016"
"Emberiza rustica","LC","VU","G","2016"
"Garrulax bicolor","VU","EN","G","2016"
"Garrulax rufifrons","EN","CR","G","2016"
"Hydrobates leucorhous","LC","VU","G","2016"
"Icterus oberi","CR","VU","G","2016"
"Pycnonotus zeylanicus","VU","EN","G","2016"
"Pygoscelis adeliae","NT","LC","G","2016"
"Pygoscelis papua","NT","LC","G","2016"
"Pyrrhula murina","EN","VU","G","2016"
"Sternula balaenarum","NT","VU","G","2016"
"Terenura sicki","EN","CR","G","2016"
"Zosterops flavus","NT","VU","G","2016"
"Zosterops modestus","EN","VU","G","2016"
"Acanthochelys pallidipectoris","VU","EN","G","2016"
"Ameiva corvina","VU","CR","G","2016"
"Chelonoidis abingdonii","EW","EX","G","2016"
"Cyclanorbis elegans","LR/nt","CR","G","2016"
"Cyclanorbis senegalensis","LR/nt","VU","G","2016"
"Cycloderma frenatum","LR/nt","EN","G","2016"
"Erythrolamprus cursor","CR","CR(PE)","G","2016"
"Erythrolamprus ornatus","EN","CR","G","2016"
"Geochelone elegans","LR/lc","VU","G","2016"
"Liolaemus dicktracyi","LC","VU","G","2016"
"Mesoclemmys hogei","EN","CR","G","2016"
"Podocnemis lewyana","EN","CR","G","2016"
"Arius festinus","EN","CR","G","2016"
"Bedotia longianalis","LC","EN","G","2016"
"Bedotia marojejy","VU","EN","G","2016"
"Eusphyra blochii","NT","EN","G","2016"
"Katria katria","VU","EN","G","2016"
"Marcusenius victoriae","EN","LC","G","2016"
"Pachypanchax omalonota","LC","EN","G","2016"
"Paretroplus dambabe","EN","CR","G","2016"
"Paretroplus gymnopreopercularis","EN","CR","G","2016"
"Ptychochromis oligacanthus","LC","EN","G","2016"
"Ptychochromoides betsileanus","CR","CR(PE)","G","2016"
"Rheocles alaotrensis","VU","EN","G","2016"
"Rheocles derhami","VU","CR","G","2016"
"Rhincodon typus","VU","EN","G","2016"
"Bellamya phthinotropis","EN","CR","G","2016"
"Ceratophallus concavus","EN","CR","G","2016"
"Ceratophallus crassus","NT","EN","G","2016"
"Cleopatra cridlandi","VU","CR","G","2016"
"Gabbiella barthi","EN","CR","G","2016"
"Agriocnemis palaeforma","NT","VU","G","2016"
"Neodythemis nyungwe","NT","VU","G","2016"
"Acrostira bellamyi","NT","CR","G","2016"
"Acrostira tamarani","NT","EN","G","2016"
"Chrysochraon beybienkoi","VU","CR","G","2016"
"Commidendrum robustum","EN","CR","G","2016"
"Degeneria vitiensis","VU","LC","G","2016"
"Lachanodes arborea","CR","EW","G","2016"
"Magnolia jardinensis","EN","CR","G","2016"
"Neuburgia alata","LR/nt","EN","G","2016"
"Elaphoglossum nervosum","EN","CR","G","2016"
"Cyanea eleeleensis","CR","EX","G","2016"
"Hibiscadelphus woodii","CR","EX","G","2016"
"Melicope macropus","EN","EX","G","2016"
"Aotus nancymaae","LC","VU","G","2017"
"Eudorcas tilonura","VU","EN","G","2017"
"Kobus leche","LC","NT","G","2017"
"Neophocaena asiaeorientalis","VU","EN","G","2017"
"Orcaella brevirostris","VU","EN","G","2017"
"Pelea capreolus","LC","NT","G","2017"
"Pipistrellus murrayi","CR","EX","G","2017"
"Pseudocheirus occidentalis","VU","CR","G","2017"
"Pteropus rennelli","VU","EN","G","2017"
"Pteropus rodricensis","CR","EN","G","2017"
"Redunca fulvorufula","LC","EN","G","2017"
"Tragelaphus derbianus","LC","VU","G","2017"
"Amazona brasiliensis","VU","NT","G","2017"
"Apteryx mantelli","EN","VU","G","2017"
"Apteryx rowi","EN","VU","G","2017"
"Charadrius obscurus","EN","CR","G","2017"
"Diomedea antipodensis","VU","EN","G","2017"
"Emberiza aureola","EN","CR","G","2017"
"Garrulax mitratus","LC","NT","G","2017"
"Lanius meridionalis","LC","VU","G","2017"
"Mimus trifasciatus","CR","EN","G","2017"
"Myrmotherula klagesi","NT","VU","G","2017"
"Nestor notabilis","VU","EN","G","2017"
"Oxyura maccoa","NT","VU","G","2017"
"Pedionomus torquatus","EN","CR","G","2017"
"Pelecanus crispus","VU","NT","G","2017"
"Procellaria westlandica","VU","EN","G","2017"
"Rissa tridactyla","LC","VU","G","2017"
"Sporophila maximiliani","VU","EN","G","2017"
"Troglodytes cobbi","VU","LC","G","2017"
"Ctenotus zastictus","VU","NT","G","2017"
"Delma impar","VU","EN","G","2017"
"Emoia nativitatis","CR","EX","G","2017"
"Homopholis mulleri","LR/nt","VU","G","2017"
"Homopus signatus","LR/nt","VU","G","2017"
"Lepidodactylus listeri","VU","EW","G","2017"
"Platysaurus relictus","LR/nt","LC","G","2017"
"Ramphotyphlops exocoeti","VU","EN","G","2017"
"Gastrotheca antomia","VU","CR","G","2017"
"Gastrotheca aureomaculata","NT","EN","G","2017"
"Pristimantis molybrignus","NT","CR","G","2017"
"Chiloglanis bifurcus","EN","CR","G","2017"
"Enteromius gurneyi","LC","VU","G","2017"
"Amphorella cimensis","VU","NT","G","2017"
"Amphorella melampoides","VU","LC","G","2017"
"Boettgeria crispa","NT","EN","G","2017"
"Boettgeria obesiuscula","VU","CR","G","2017"
"Ligumia nasuta","LR/nt","VU","G","2017"
"Malacolimax wiktori","LR/nt","EN","G","2017"
"Obovaria subrotunda","LR/nt","EN","G","2017"
"Oxychilus agostinhoi","VU","CR","G","2017"
"Ptychobranchus fasciolaris","LR/lc","NT","G","2017"
"Pittosporum brevispinum","EN","CR","G","2017"
"Sorbus wilmottiana","CR","EN","G","2017"
"Balaenoptera physalus","EN","VU","G","2018"
"Eudorcas thomsonii","NT","LC","G","2018"
"Geocapromys brownii","VU","EN","G","2018"
"Oryx beisa","NT","EN","G","2018"
"Pteropus niger","VU","EN","G","2018"
"Ara rubrogenys","EN","CR","G","2018"
"Carpococcyx renauldi","LC","VU","G","2018"
"Chaetura pelagica","NT","VU","G","2018"
"Diomedea amsterdamensis","CR","EN","G","2018"
"Euryceros prevostii","VU","EN","G","2018"
"Garrulax palliatus","LC","NT","G","2018"
"Geronticus eremita","CR","EN","G","2018"
"Lonchura oryzivora","VU","EN","G","2018"
"Melanerpes erythrocephalus","NT","LC","G","2018"
"Nesoenas mayeri","EN","VU","G","2018"
"Oriolia bernieri","VU","EN","G","2018"
"Passerculus henslowii","NT","LC","G","2018"
"Prinia familiaris","LC","NT","G","2018"
"Psittacula longicauda","NT","VU","G","2018"
"Pterodroma sandwichensis","VU","EN","G","2018"
"Puffinus newelli","EN","CR","G","2018"
"Pycnonotus zeylanicus","EN","CR","G","2018"
"Sitta insularis","EN","CR","G","2018"
"Somateria fischeri","LC","NT","G","2018"
"Tachybaptus pelzelnii","VU","EN","G","2018"
"Carettochelys insculpta","VU","EN","G","2018"
"Chersobius boulengeri","NT","EN","G","2018"
"Chersobius signatus","VU","EN","G","2018"
"Cryptactites peringueyi","CR","NT","G","2018"
"Gopherus flavomarginatus","VU","CR","G","2018"
"Iguana delicatissima","EN","CR","G","2018"
"Larutia miodactyla","LC","VU","G","2018"
"Phelsuma guentheri","EN","VU","G","2018"
"Psammobates tentorius","LC","NT","G","2018"
"Tympanocryptis pinguicolla","VU","EN","G","2018"
"Ansonia guibei","EN","CR","G","2018"
"Atelopus pulcher","CR","VU","G","2018"
"Leptobrachella arayai","VU","LC","G","2018"
"Nannophryne cophotis","LC","CR(PE)","G","2018"
"Nannophryne corynetes","VU","EN","G","2018"
"Platymantis banahao","VU","NT","G","2018"
"Werneria bambutensis","EN","CR","G","2018"
"Werneria tandyi","EN","CR","G","2018"
"Aulonocara guentheri","LC","EN","G","2018"
"Aulonocara kandeense","VU","CR","G","2018"
"Aulonocara maylandi","VU","CR","G","2018"
"Bagrus meridionalis","LC","CR","G","2018"
"Champsochromis spilorhynchus","LC","EN","G","2018"
"Chindongo saulosi","VU","CR","G","2018"
"Copadichromis azureus","LC","NT","G","2018"
"Corematodus shiranus","LC","CR(PE)","G","2018"
"Hyporthodus ergastularius","LC","NT","G","2018"
"Mchenga conophoros","VU","CR","G","2018"
"Melanochromis chipokae","VU","CR","G","2018"
"Melanochromis lepidiadaptes","VU","CR","G","2018"
"Nimbochromis fuscotaeniatus","LC","VU","G","2018"
"Oreochromis karongae","EN","CR","G","2018"
"Oreochromis squamipinnis","EN","CR","G","2018"
"Pseudotropheus brevis","LC","EN","G","2018"
"Pseudotropheus cyaneorhabdos","VU","CR","G","2018"
"Serranochromis robustus","LC","CR","G","2018"
"Trematocranus microstoma","LC","EN","G","2018"
"Dipturus innominatus","NT","LC","G","2018"
"Bellamya robertsoni","EN","CR","G","2018"
"Hystricella echinulata","LC","EN","G","2018"
"Ischnura gemina","VU","EN","G","2018"
"Leptobasis lucifer","LC","DD","G","2018"
"Eurytides iphitas","VU","EN","G","2018"
"Parides burchellanus","LR/nt","EN","G","2018"
"Caridina dennerli","EN","CR(PEW)","G","2018"
"Caridina spongicola","EN","CR","G","2018"
"Amaranthus brownii","CR","EX","G","2018"
"Apterosperma oblata","VU","CR","G","2018"
"Aquilaria malaccensis","VU","CR","G","2018"
"Aquilaria microcarpa","VU","EN","G","2018"
"Boswellia pirottae","LR/nt","VU","G","2018"
"Bulbophyllum jaapii","VU","CR","G","2018"
"Carthamus balearicus","VU","NT","G","2018"
"Cenchrus agrimonioides","CR","EN","G","2018"
"Cola porphyrantha","EN","CR","G","2018"
"Coussarea mexicana","VU","EN","G","2018"
"Eugenia koolauensis","EN","CR","G","2018"
"Euphorbia kuwaleana","EN","CR","G","2018"
"Gonystylus bancanus","VU","CR","G","2018"
"Livistona carinensis","VU","EN","G","2018"
"Nepenthes mapuluensis","LR/nt","EN","G","2018"
"Palaquium maingayi","LR/lc","VU","G","2018"
"Psychotria petitii","VU","EN","G","2018"
"Sclerocarya gillettii","VU","EN","G","2018"
"Vatica bantamensis","EN","CR","G","2018"
"Aotus miconax","VU","EN","G","2019"
"Arctocebus calabarensis","LC","NT","G","2019"
"Callithrix aurita","VU","EN","G","2019"
"Callithrix kuhlii","NT","VU","G","2019"
"Cebuella pygmaea","LC","VU","G","2019"
"Cercocebus torquatus","VU","EN","G","2019"
"Cercopithecus diana","VU","EN","G","2019"
"Cercopithecus lowei","LC","VU","G","2019"
"Cercopithecus nictitans","LC","NT","G","2019"
"Cercopithecus roloway","EN","CR","G","2019"
"Cercopithecus sclateri","VU","EN","G","2019"
"Colobus vellerosus","VU","CR","G","2019"
"Lophocebus albigena","LC","VU","G","2019"
"Lophocebus aterrimus","NT","VU","G","2019"
"Miopithecus ogouensis","LC","NT","G","2019"
"Miopithecus talapoin","LC","VU","G","2019"
"Notopteris neocaledonica","VU","EN","G","2019"
"Oryctolagus cuniculus","NT","EN","G","2019"
"Otomys laminatus","LC","NT","G","2019"
"Piliocolobus oustaleti","LC","VU","G","2019"
"Piliocolobus pennantii","EN","CR","G","2019"
"Piliocolobus rufomitratus","EN","CR","G","2019"
"Piliocolobus tholloni","NT","VU","G","2019"
"Piliocolobus waldroni","CR","CR(PE)","G","2019"
"Porcula salvania","CR","EN","G","2019"
"Procolobus verus","NT","VU","G","2019"
"Rousettus madagascariensis","NT","VU","G","2019"
"Saguinus bicolor","EN","CR","G","2019"
"Saguinus geoffroyi","LC","NT","G","2019"
"Saguinus martinsi","LC","NT","G","2019"
"Sapajus libidinosus","LC","NT","G","2019"
"Alophoixus bres","LC","NT","G","2019"
"Amazona aestiva","LC","NT","G","2019"
"Amazona imperialis","EN","CR","G","2019"
"Chloropsis cochinchinensis","NT","EN","G","2019"
"Chloropsis media","VU","EN","G","2019"
"Cichlocolaptes mazarbarnetti","CR","EX","G","2019"
"Cotinga maculata","EN","CR","G","2019"
"Cyanopsitta spixii","CR","EW","G","2019"
"Gymnobucco vernayi","LC","VU","G","2019"
"Haemorhous cassinii","NT","LC","G","2019"
"Hydrornis gurneyi","EN","CR","G","2019"
"Hypotaenidia owstoni","EW","CR","G","2019"
"Laterallus jamaicensis","NT","EN","G","2019"
"Megapodius pritchardii","EN","VU","G","2019"
"Melamprosops phaeosoma","CR","EX","G","2019"
"Philydor novaesi","CR","EX","G","2019"
"Psittacula eques","EN","VU","G","2019"
"Pterodroma ultima","NT","LC","G","2019"
"Setophaga cerulea","VU","NT","G","2019"
"Turdus lherminieri","VU","NT","G","2019"
"Vireo atricapilla","VU","NT","G","2019"
"Batagur dhongoka","EN","CR","G","2019"
"Cyclura cornuta","VU","EN","G","2019"
