"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Geoclemys hamiltonii","VU","EN","G","2019"
"Liolaemus vallecurensis","LC","NT","G","2019"
"Malaclemys terrapin","LR/nt","VU","G","2019"
"Malacochersus tornieri","VU","CR","G","2019"
"Rhampholeon gorongosae","LC","EN","G","2019"
"Sauromalus hispidus","NT","EN","G","2019"
"Anomaloglossus degranvillei","LC","CR","G","2019"
"Arthroleptis krokosua","NT","CR","G","2019"
"Atelognathus patagonicus","EN","CR","G","2019"
"Atelopus limosus","EN","CR","G","2019"
"Bolitoglossa hypacra","LC","EN","G","2019"
"Dendrotriton sanctibarbarus","VU","CR","G","2019"
"Phrynobatrachus steindachneri","VU","CR","G","2019"
"Rhinella achalensis","NT","EN","G","2019"
"Telmatobius hauthali","VU","EN","G","2019"
"Werneria mertensiana","EN","CR","G","2019"
"Wolterstorffina parvipalmata","VU","CR","G","2019"
"Bidyanus bidyanus","VU","NT","G","2019"
"Bryconops imitator","LC","NT","G","2019"
"Characodon audax","VU","EN","G","2019"
"Characodon lateralis","EN","CR","G","2019"
"Chlamydogobius gloveri","VU","CR","G","2019"
"Craterocephalus dalhousiensis","VU","CR","G","2019"
"Craterocephalus fluviatilis","EN","CR","G","2019"
"Cyprinodon veronicae","CR","EW","G","2019"
"Galaxias pedderensis","CR","EN","G","2019"
"Galaxias rostratus","VU","CR","G","2019"
"Galaxias tanycephalus","VU","CR","G","2019"
"Galaxiella munda","LR/nt","EN","G","2019"
"Galaxiella nigrostriata","LR/nt","EN","G","2019"
"Girardinichthys multiradiatus","VU","EN","G","2019"
"Gymnocharacinus bergii","EN","CR","G","2019"
"Hypseleotris aurea","LR/lc","EN","G","2019"
"Hypseleotris ejuncida","LR/nt","CR","G","2019"
"Hypseleotris kimberleyensis","LR/nt","EN","G","2019"
"Kimberleyeleotris hutchinsi","LR/nt","VU","G","2019"
"Kimberleyeleotris notata","LR/nt","CR","G","2019"
"Leiopotherapon aheneus","LR/nt","EN","G","2019"
"Lepidogalaxias salamandroides","LR/nt","EN","G","2019"
"Maccullochella macquariensis","EN","VU","G","2019"
"Megupsilon aporus","EW","EX","G","2019"
"Melanotaenia pygmaea","LR/nt","VU","G","2019"
"Nannatherina balstoni","DD","EN","G","2019"
"Nannoperca obscura","VU","EN","G","2019"
"Nannoperca variegata","VU","EN","G","2019"
"Nothobranchius albimarginatus","VU","EN","G","2019"
"Nothobranchius guentheri","LC","EN","G","2019"
"Oreochromis mossambicus","NT","VU","G","2019"
"Parakysis longirostris","LC","NT","G","2019"
"Paratherina labiosa","VU","CR","G","2019"
"Probarbus jullieni","EN","CR","G","2019"
"Prototroctes maraena","NT","VU","G","2019"
"Xiphophorus couchianus","CR","EW","G","2019"
"Xiphophorus meyeri","EN","EW","G","2019"
"Pseudoginglymostoma brevicaudatum","VU","CR","G","2019"
"Hesperia dacotae","VU","EN","G","2019"
"Anisophyllea globosa","VU","CR","G","2019"
"Anisophyllea impressinervia","VU","CR","G","2019"
"Asteropeia densiflora","NT","VU","G","2019"
"Beilschmiedia lumutensis","LR/lc","VU","G","2019"
"Beilschmiedia membranacea","VU","EN","G","2019"
"Bulbophyllum multiflorum","LC","VU","G","2019"
"Commiphora mafaidoha","LR/nt","EN","G","2019"
"Dalbergia davidii","EN","CR","G","2019"
"Dalbergia emirnensis","LR/nt","VU","G","2019"
"Dalbergia glomerata","VU","CR","G","2019"
"Dalbergia greveana","LR/nt","VU","G","2019"
"Dalbergia mollis","LR/nt","VU","G","2019"
"Dalbergia peltieri","LC","VU","G","2019"
"Dalbergia pervillei","LR/nt","VU","G","2019"
"Eucalyptus morrisbyi","EN","CR","G","2019"
"Euphorbia bongolavensis","VU","EN","G","2019"
"Fleurydora felicis","VU","EN","G","2019"
"Isolona linearis","VU","EN","G","2019"
"Jatropha chamelensis","VU","EN","G","2019"
"Kokoona sabahana","VU","CR","G","2019"
"Millettia sacleuxii","VU","EN","G","2019"
"Neoharmsia madagascariensis","VU","EN","G","2019"
"Neolitsea kedahensis","LR/cd","EN","G","2019"
"Ormocarpopsis mandrarensis","VU","EN","G","2019"
"Prunus mirabilis","VU","EN","G","2019"
"Sarawakodendron filamentosum","VU","EN","G","2019"
"Allocebus trichotis","VU","EN","G","2020"
"Alouatta caraya","LC","NT","G","2020"
"Alouatta guariba","LC","VU","G","2020"
"Alouatta puruensis","LC","VU","G","2020"
"Bison bonasus","VU","NT","G","2020"
"Callithrix flaviceps","EN","CR","G","2020"
"Capra aegagrus","VU","NT","G","2020"
"Capra sibirica","LC","NT","G","2020"
"Capra walie","EN","VU","G","2020"
"Cebuella niveiventris","LC","VU","G","2020"
"Cercocebus atys","NT","VU","G","2020"
"Cercocebus galeritus","EN","CR","G","2020"
"Cercopithecus campbelli","LC","NT","G","2020"
"Cercopithecus erythrogaster","VU","EN","G","2020"
"Cercopithecus mona","LC","NT","G","2020"
"Cercopithecus petaurista","LC","NT","G","2020"
"Colobus angolensis","LC","VU","G","2020"
"Colobus polykomos","VU","EN","G","2020"
"Cricetus cricetus","LC","CR","G","2020"
"Eubalaena glacialis","EN","CR","G","2020"
"Eulemur fulvus","NT","VU","G","2020"
"Eulemur macaco","VU","EN","G","2020"
"Eulemur rufifrons","NT","VU","G","2020"
"Euoticus pallidus","LC","NT","G","2020"
"Hipposideros curtus","VU","EN","G","2020"
"Leontocebus illigeri","LC","NT","G","2020"
"Lepilemur grewcockorum","EN","CR","G","2020"
"Lepilemur mittermeieri","EN","CR","G","2020"
"Lepilemur petteri","VU","EN","G","2020"
"Lepilemur ruficaudatus","VU","CR","G","2020"
"Loris lydekkerianus","LC","NT","G","2020"
"Lycalopex vetulus","LC","NT","G","2020"
"Macaca radiata","LC","VU","G","2020"
"Mico melanurus","LC","NT","G","2020"
"Microcebus berthae","EN","CR","G","2020"
"Nycticebus bengalensis","VU","EN","G","2020"
"Nycticebus pygmaeus","VU","EN","G","2020"
"Paragalago orinus","NT","VU","G","2020"
"Perodicticus potto","LC","NT","G","2020"
"Plecturocebus brunneus","LC","VU","G","2020"
"Propithecus coquereli","EN","CR","G","2020"
"Propithecus coronatus","EN","CR","G","2020"
"Propithecus deckenii","EN","CR","G","2020"
"Propithecus verreauxi","EN","CR","G","2020"
"Pteropus aldabrensis","VU","EN","G","2020"
"Sciurocheirus alleni","LC","NT","G","2020"
"Spermophilus citellus","VU","EN","G","2020"
"Alectoris rufa","LC","NT","G","2020"
"Alophoixus bres","NT","EN","G","2020"
"Alophoixus tephrogenys","LC","VU","G","2020"
"Amazona agilis","VU","EN","G","2020"
"Anas nesiotis","EN","VU","G","2020"
"Apalis lynesi","NT","EN","G","2020"
"Chersophilus duponti","NT","VU","G","2020"
"Eupsittula canicularis","LC","VU","G","2020"
"Geokichla interpres","NT","EN","G","2020"
"Grus nigricollis","VU","NT","G","2020"
"Hylocichla mustelina","NT","LC","G","2020"
"Larus audouinii","LC","VU","G","2020"
"Milvus milvus","NT","LC","G","2020"
"Ocyceros griseus","LC","VU","G","2020"
"Ognorhynchus icterotis","EN","VU","G","2020"
"Podiceps taczanowskii","CR","EN","G","2020"
"Polemaetus bellicosus","VU","EN","G","2020"
"Rhyticeros narcondami","EN","VU","G","2020"
"Rynchops albicollis","VU","EN","G","2020"
"Sagittarius serpentarius","VU","EN","G","2020"
"Setophaga flavescens","NT","EN","G","2020"
"Sterna aurantia","NT","VU","G","2020"
"Terathopius ecaudatus","NT","EN","G","2020"
"Terpsiphone corvina","CR","VU","G","2020"
"Trichoglossus forsteni","VU","EN","G","2020"
"Zenaida galapagoensis","LC","NT","G","2020"
"Anolis muralla","VU","CR","G","2020"
"Cuora amboinensis","VU","EN","G","2020"
"Cyclura carinata","CR","EN","G","2020"
"Lygophis elegantissimus","LC","VU","G","2020"
"Melanochelys tricarinata","VU","EN","G","2020"
"Orlitia borneensis","EN","CR","G","2020"
"Agalychnis annae","EN","VU","G","2020"
"Allobates mcdiarmidi","NT","CR(PE)","G","2020"
"Ameerega boehmei","LC","EN","G","2020"
"Ameerega boliviana","LC","NT","G","2020"
"Atelopus chiriquiensis","CR(PE)","EX","G","2020"
"Atelopus senex","CR","EX","G","2020"
"Atelopus tricolor","VU","CR","G","2020"
"Atlantihyla panchoi","EN","CR","G","2020"
"Batrachuperus yenyuanensis","VU","EN","G","2020"
"Bolitoglossa insularis","VU","CR","G","2020"
"Bolitoglossa pesrubra","VU","LC","G","2020"
"Bolitoglossa robusta","LC","VU","G","2020"
"Cophixalus sphagnicola","LC","EN","G","2020"
"Craugastor aphanus","VU","EN","G","2020"
"Craugastor greggi","CR","EN","G","2020"
"Craugastor inachus","EN","CR","G","2020"
"Craugastor matudai","VU","EN","G","2020"
"Craugastor punctariolus","EN","CR(PE)","G","2020"
"Craugastor taurus","CR","EN","G","2020"
"Duellmanohyla uranochroa","EN","VU","G","2020"
"Duttaphrynus noellerti","EN","CR","G","2020"
"Hyloscirtus armatus","LC","NT","G","2020"
"Hyloscirtus colymba","NT","EN","G","2020"
"Incilius chompipe","VU","EN","G","2020"
"Isthmohyla rivularis","CR","EN","G","2020"
"Lithobates miadis","VU","CR","G","2020"
"Nanorana unculuanus","EN","VU","G","2020"
"Nototriton picadoi","NT","LC","G","2020"
"Nototriton richardi","NT","LC","G","2020"
"Nototriton saslaya","VU","CR","G","2020"
"Nymphargus bejaranoi","LC","EN","G","2020"
"Oedipina uniformis","NT","LC","G","2020"
"Parvimolge townsendi","CR","VU","G","2020"
"Petropedetes perreti","EN","CR","G","2020"
"Plectrohyla pokomchi","CR","EN","G","2020"
"Pleurodema marmoratum","LC","VU","G","2020"
"Pseudoeurycea rex","CR","VU","G","2020"
"Quasipaa shini","VU","EN","G","2020"
"Rana iberica","NT","VU","G","2020"
"Sarcohyla celata","CR(PE)","NT","G","2020"
"Sarcohyla chryses","CR","EN","G","2020"
"Silverstoneia nubicola","NT","VU","G","2020"
"Strabomantis bufoniformis","LC","EN","G","2020"
"Telmatobius bolivianus","NT","CR(PE)","G","2020"
"Telmatobius simonsi","NT","CR","G","2020"
"Telmatobius verrucosus","VU","CR","G","2020"
"Thorius adelos","EN","NT","G","2020"
"Triprion spinosus","LC","NT","G","2020"
"Tylototriton shanjing","NT","VU","G","2020"
"Yunganastes fraudator","LC","VU","G","2020"
"Yunganastes pluvicanorus","LC","VU","G","2020"
"Arnoldichthys spilopterus","VU","EN","G","2020"
"Barbodes lindog","VU","CR(PE)","G","2020"
"Barbodes sirang","VU","CR(PE)","G","2020"
"Brycinus carolinae","VU","EN","G","2020"
"Bryconaethiops quinquesquamae","LC","EN","G","2020"
"Chilatherina axelrodi","LR/lc","EN","G","2020"
"Craterocephalus lacustris","VU","EN","G","2020"
"Glossolepis incisus","VU","EN","G","2020"
"Glossolepis maculosus","LR/lc","EN","G","2020"
"Hephaestus adamsoni","VU","CR","G","2020"
"Melanotaenia arfakensis","VU","EN","G","2020"
"Melanotaenia lacustris","VU","EN","G","2020"
"Melanotaenia maylandi","LR/lc","VU","G","2020"
"Melanotaenia oktediensis","VU","CR","G","2020"
"Melanotaenia parva","VU","CR(PE)","G","2020"
"Micralestes eburneensis","NT","EN","G","2020"
"Mogurnda spilota","VU","CR","G","2020"
"Mogurnda vitta","VU","CR","G","2020"
"Oloplotosus torobo","VU","EN","G","2020"
"Pseudomugil connieae","VU","EN","G","2020"
"Sundoreonectes sabanus","VU","EN","G","2020"
"Tetraodon pustulatus","VU","EN","G","2020"
"Beringraja pulchra","VU","EN","G","2020"
"Dipturus laevis","EN","LC","G","2020"
"Malacoraja senta","EN","VU","G","2020"
"Squalus hemipinnis","NT","VU","G","2020"
"Aloeides rossouwi","VU","CR","G","2020"
"Capys penningtoni","VU","CR","G","2020"
"Orachrysops niobe","EN","CR","G","2020"
"Thestor strutti","VU","CR","G","2020"
"Caledopteryx maculata","LC","NT","G","2020"
"Caledopteryx sarasini","LC","NT","G","2020"
"Megalagrion oceanicum","VU","CR","G","2020"
"Coenagrion intermedium","VU","EN","G","2020"
"Afropomus balanoidea","NT","EN","G","2020"
"Amphidromus cognatus","LR/nt","EN","G","2020"
"Mutela franci","VU","EN","G","2020"
"Potadoma bicarinata","LC","CR","G","2020"
"Potadoma freethi","LC","NT","G","2020"
"Pseudocleopatra togoensis","LC","CR","G","2020"
"Sierraia expansilabrum","VU","EN","G","2020"
"Anthodiscus chocoensis","VU","EN","G","2020"
"Argyroxiphium sandwicense","VU","EN","G","2020"
"Cheirodendron forbesii","VU","EN","G","2020"
"Disperis kamerunensis","EN","CR","G","2020"
"Euphorbia sparsiflora","VU","CR","G","2020"
"Mentha gattefossei","NT","VU","G","2020"
"Myrsine fernseei","LR/nt","EN","G","2020"
"Myrsine knudsenii","EN","CR","G","2020"
"Pavetta tarennoides","VU","CR","G","2020"
"Protea comptonii","LR/nt","VU","G","2020"
"Protea laetans","VU","EN","G","2020"
"Psychotria grandiflora","EN","CR","G","2020"
"Ranunculus schweinfurthii","VU","EN","G","2020"
"Tapirira chimalapana","VU","CR","G","2020"
"Warburgia elongata","EN","CR","G","2020"
"Cyclosorus wailele","EN","CR","G","2020"
"Alouatta sara","LC","NT","G","2021"
"Chalinolobus tuberculatus","VU","CR","G","2021"
"Galemys pyrenaicus","VU","EN","G","2021"
"Meriones dahli","EN","CR","G","2021"
"Phoniscus papuensis","LC","VU","G","2021"
"Plecturocebus olallae","EN","CR","G","2021"
"Acridotheres melanopterus","CR","EN","G","2021"
"Amazona auropalliata","EN","CR","G","2021"
"Anthus antarcticus","NT","LC","G","2021"
"Anthus pratensis","NT","LC","G","2021"
"Branta sandvicensis","VU","NT","G","2021"
"Brotogeris pyrrhoptera","EN","VU","G","2021"
"Campylorhamphus multostriatus","LC","NT","G","2021"
"Chelictinia riocourii","LC","VU","G","2021"
"Colaptes fernandinae","VU","EN","G","2021"
"Ducula brenchleyi","VU","NT","G","2021"
"Eleothreptus anomalus","NT","VU","G","2021"
"Falco vespertinus","NT","VU","G","2021"
"Grus japonensis","EN","VU","G","2021"
"Hapalopsittaca fuertesi","CR","EN","G","2021"
"Larus armenicus","NT","LC","G","2021"
"Loriculus tener","NT","LC","G","2021"
"Macrocephalon maleo","EN","CR","G","2021"
"Mitu tuberosum","LC","NT","G","2021"
"Nesospiza wilkinsi","EN","CR","G","2021"
"Nisaetus nipalensis","LC","NT","G","2021"
"Oxyura maccoa","VU","EN","G","2021"
"Penelope superciliaris","LC","NT","G","2021"
"Pipile cujubi","LC","VU","G","2021"
"Ploceus megarhynchus","VU","EN","G","2021"
"Ramphastos sulfuratus","LC","NT","G","2021"
"Rollulus rouloul","NT","VU","G","2021"
"Sypheotides indicus","EN","CR","G","2021"
"Ailuronyx trachygaster","VU","CR","G","2021"
"Centrochelys sulcata","VU","EN","G","2021"
"Chilabothrus monensis","EN","NT","G","2021"
"Cnemaspis yercaudensis","LC","EN","G","2021"
"Hardella thurjii","VU","EN","G","2021"
"Hemidactylus sataraensis","VU","CR","G","2021"
"Heosemys grandis","VU","CR","G","2021"
"Indotestudo forstenii","EN","CR","G","2021"
"Kinixys homeana","VU","CR","G","2021"
"Lipinia infralineolata","LC","VU","G","2021"
"Lyriocephalus scutatus","NT","VU","G","2021"
"Manouria impressa","VU","EN","G","2021"
"Mauremys mutica","EN","CR","G","2021"
"Mauremys sinensis","EN","CR","G","2021"
"Morenia ocellata","VU","EN","G","2021"
"Morenia petersi","VU","EN","G","2021"
"Nilssonia gangetica","VU","EN","G","2021"
"Nilssonia hurum","VU","EN","G","2021"
"Nilssonia leithii","VU","CR","G","2021"
"Palea steindachneri","EN","CR","G","2021"
"Pamelaescincus gardineri","LC","NT","G","2021"
"Pangshura sylhetensis","EN","CR","G","2021"
"Paniegekko madjo","NT","EN","G","2021"
"Platysternon megacephalum","EN","CR","G","2021"
"Sacalia quadriocellata","EN","CR","G","2021"
"Siebenrockiella crassicollis","VU","EN","G","2021"
"Sphenomorphus tropidonotus","LC","EN","G","2021"
"Tropidophorus laotus","LC","EN","G","2021"
"Varanus flavescens","LR/lc","EN","G","2021"
"Varanus komodoensis","VU","EN","G","2021"
"Allobates algorei","LC","NT","G","2021"
"Allobates chalcopis","VU","CR","G","2021"
"Alytes maurus","NT","EN","G","2021"
"Cynops pyrrhogaster","LC","NT","G","2021"
"Dendropsophus pelidna","LC","NT","G","2021"
"Eleutherodactylus gryllus","EN","CR","G","2021"
"Hynobius tsuensis","LC","NT","G","2021"
"Hyperolius cystocandicans","NT","EN","G","2021"
"Peltophryne lemur","CR","EN","G","2021"
"Pristimantis briceni","VU","EN","G","2021"
"Pristimantis kareliae","NT","CR","G","2021"
"Rana tsushimensis","LC","NT","G","2021"
"Scinax manriquei","LC","NT","G","2021"
"Zhangixalus yaoshanensis","EN","NT","G","2021"
"Cynoscion acoupa","LC","VU","G","2021"
"Thunnus alalunga","NT","LC","G","2021"
"Thunnus albacares","NT","LC","G","2021"
"Thunnus maccoyii","CR","EN","G","2021"
"Thunnus thynnus","EN","LC","G","2021"
"Carcharhinus acronotus","NT","EN","G","2021"
"Carcharhinus perezi","NT","EN","G","2021"
"Carcharhinus signatus","VU","EN","G","2021"
"Hemitriakis japanica","LC","EN","G","2021"
"Mustelus asterias","LC","NT","G","2021"
"Rhinobatos albomaculatus","VU","CR","G","2021"
"Rhinobatos irvinei","VU","CR","G","2021"
"Rhinobatos rhinobatos","EN","CR","G","2021"
"Rhinoptera marginata","NT","CR","G","2021"
"Brachystegia angustistipulata","LR/lc","VU","G","2021"
"Cleistanthus evrardii","VU","CR(PE)","G","2021"
"Cupaniopsis napaensis","VU","CR(PE)","G","2021"
"Dracaena draco","VU","EN","G","2021"
"Elattostachys aiyurensis","VU","CR","G","2021"
"Eucryphia glutinosa","LR/nt","EN","G","2021"
"Horsfieldia ampla","VU","EN","G","2021"
"Ilex huachamacariana","LR/nt","VU","G","2021"
"Ilex ignicola","LR/nt","EN","G","2021"
"Ilex lasseri","VU","CR","G","2021"
"Ilex magnifructa","LR/nt","EN","G","2021"
"Ilex marahuacae","LR/nt","VU","G","2021"
"Ilex parvifructa","VU","EN","G","2021"
"Ilex paujiensis","LR/nt","EN","G","2021"
"Ilex sipapoana","LR/nt","EN","G","2021"
"Ilex steyermarkii","LR/nt","EN","G","2021"
"Latania verschaffeltii","EN","CR","G","2021"
"Mangifera caesia","LR/lc","NT","G","2021"
"Myristica simulans","VU","CR","G","2021"
"Nectandra ruforamula","LR/nt","EN","G","2021"
"Pittosporum napaliense","EN","CR","G","2021"
"Pradosia spinosa","NT","VU","G","2021"
"Xyris boliviana","VU","CR","G","2021"
"Hypogeomys antimena","EN","CR","G","2022"
"Sapajus cay","LC","VU","G","2022"
"Acanthiza katherina","LC","VU","G","2022"
"Acrocephalus sorghophilus","EN","CR","G","2022"
"Amytornis ballarae","LC","VU","G","2022"
"Amytornis woodwardi","VU","EN","G","2022"
"Apalis chirindensis","LC","VU","G","2022"
"Apalis sharpii","LC","NT","G","2022"
"Aphelocephala leucopsis","LC","VU","G","2022"
"Bolemoreus hindwoodi","LC","NT","G","2022"
"Bubo sumatranus","LC","NT","G","2022"
"Calidris acuminata","LC","VU","G","2022"
"Callocephalon fimbriatum","LC","VU","G","2022"
"Calyptorhynchus lathami","LC","VU","G","2022"
"Caprimulgus ruficollis","LC","NT","G","2022"
"Carpococcyx radiceus","NT","VU","G","2022"
"Colluricincla boweri","LC","VU","G","2022"
"Coua pyropyga","LC","NT","G","2022"
"Crypturellus boucardi","LC","VU","G","2022"
"Cyornis magnirostris","LC","NT","G","2022"
"Gallinago hardwickii","LC","NT","G","2022"
"Geophaps smithii","VU","LC","G","2022"
"Halcyon pileata","LC","VU","G","2022"
"Heliopais personatus","EN","CR","G","2022"
"Hemiphaga novaeseelandiae","NT","LC","G","2022"
"Heteromyias cinereifrons","LC","NT","G","2022"
"Lanio leucothorax","LC","NT","G","2022"
"Lanius senator","LC","NT","G","2022"
"Lophorina victoriae","LC","VU","G","2022"
"Lophura erythrophthalma","VU","CR","G","2022"
"Lophura pyronota","VU","EN","G","2022"
"Melanodryas vittata","LC","VU","G","2022"
"Melithreptus validirostris","LC","VU","G","2022"
"Menura alberti","NT","LC","G","2022"
"Neophema chrysostoma","LC","VU","G","2022"
"Nesospingus speculiferus","LC","VU","G","2022"
"Odontophorus melanotis","LC","NT","G","2022"
"Oreoscopus gutturalis","LC","EN","G","2022"
"Patagioenas oenops","VU","NT","G","2022"
"Petroica phoenicea","NT","LC","G","2022"
"Petroica traversi","EN","VU","G","2022"
"Pityriasis gymnocephala","NT","VU","G","2022"
"Polyplectron malacense","VU","EN","G","2022"
"Prionodura newtoniana","LC","NT","G","2022"
"Pycnoptilus floccosus","LC","VU","G","2022"
"Rhynchortyx cinctus","LC","NT","G","2022"
"Scenopoeetes dentirostris","LC","NT","G","2022"
"Scytalopus sanctaemartae","LC","NT","G","2022"
"Sericornis keri","LC","VU","G","2022"
"Stagonopleura guttata","LC","VU","G","2022"
"Xenopirostris xenopirostris","LC","NT","G","2022"
"Zanda baudinii","EN","CR","G","2022"
"Acontias grayi","LC","NT","G","2022"
"Bradypodion nemorale","NT","VU","G","2022"
"Bradypodion ngomeense","NT","VU","G","2022"
"Bradypodion setaroi","LC","NT","G","2022"
"Cordylus macropholis","LC","NT","G","2022"
"Homopholis mulleri","LC","NT","G","2022"
"Scelotes gronovii","LC","NT","G","2022"
"Scelotes kasneri","NT","EN","G","2022"
"Typhlosaurus lomiae","LC","NT","G","2022"
"Alytes dickhilleni","VU","EN","G","2022"
"Bolitoglossa chica","VU","CR","G","2022"
"Eleutherodactylus inoptatus","LC","NT","G","2022"
"Nymphargus siren","VU","EN","G","2022"
"Salamandra lanzai","VU","CR","G","2022"
"Salamandrina perspicillata","LC","EN","G","2022"
"Speleomantes ambrosii","NT","CR","G","2022"
"Speleomantes italicus","NT","EN","G","2022"
"Speleomantes sarrabusensis","VU","CR","G","2022"
"Speleomantes strinatii","NT","EN","G","2022"
"Carasobarbus harterti","VU","CR","G","2022"
"Haplochromis desfontainii","EN","CR","G","2022"
"Kajikia albida","VU","LC","G","2022"
"Kajikia audax","NT","LC","G","2022"
"Leptopanchax opalescens","VU","CR","G","2022"
"Luciobarbus antinorii","DD","EX","G","2022"
"Ophthalmolebias constanciae","VU","CR","G","2022"
"Psephurus gladius","CR","EX","G","2022"
"Salaria atlantica","VU","EN","G","2022"
"Xiphias gladius","LC","NT","G","2022"
"Alfaroa mexicana","VU","EN","G","2022"
"Aloidendron ramosissimum","VU","EN","G","2022"
"Conophytum halenbergense","VU","CR","G","2022"
"Elaeoluma crispa","LR/nt","VU","G","2022"
"Erythrina tuxtlana","VU","EN","G","2022"
"Inga calcicola","VU","EN","G","2022"
"Inga chiapensis","VU","EN","G","2022"
"Inga lacustris","EN","CR","G","2022"
"Licaria velutina","VU","EN","G","2022"
"Ocotea uxpanapana","VU","EN","G","2022"
"Rinorea uxpanapana","VU","EN","G","2022"
"Encephalartos concinnus","EN","CR","G","2022"
"Encephalartos heenanii","CR","EW","G","2022"
"Encephalartos lanatus","NT","VU","G","2022"
"Encephalartos lehmannii","NT","VU","G","2022"
"Encephalartos natalensis","NT","VU","G","2022"
"Encephalartos transvenosus","LC","NT","G","2022"
"Zamia pumila","NT","VU","G","2022"
